tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2010-02-01,DKI1 (Bunderan HI),41,7,30,17,13,41,PM10,BAIK
2010-02-02,DKI1 (Bunderan HI),50,4,30,23,12,50,PM10,BAIK
2010-02-03,DKI1 (Bunderan HI),49,7,33,57,23,57,O3,SEDANG
2010-02-04,DKI1 (Bunderan HI),59,9,38,75,26,75,O3,SEDANG
2010-02-05,DKI1 (Bunderan HI),63,7,39,41,23,63,PM10,SEDANG
2010-02-06,DKI1 (Bunderan HI),65,8,59,24,15,65,PM10,SEDANG
2010-02-07,DKI1 (Bunderan HI),60,10,45,47,17,60,PM10,SEDANG
2010-02-08,DKI1 (Bunderan HI),46,5,31,42,17,46,PM10,BAIK
2010-02-09,DKI1 (Bunderan HI),52,7,30,34,16,52,PM10,SEDANG
2010-02-10,DKI1 (Bunderan HI),50,8,31,39,14,50,PM10,BAIK
2010-02-11,DKI1 (Bunderan HI),47,5,27,26,14,47,PM10,BAIK
2010-02-12,DKI1 (Bunderan HI),56,6,33,45,20,56,PM10,SEDANG
2010-02-13,DKI1 (Bunderan HI),55,6,39,14,14,55,PM10,SEDANG
2010-02-14,DKI1 (Bunderan HI),55,6,61,16,13,61,CO,SEDANG
2010-02-15,DKI1 (Bunderan HI),40,4,30,63,22,63,O3,SEDANG
2010-02-16,DKI1 (Bunderan HI),56,4,43,25,20,56,PM10,SEDANG
2010-02-17,DKI1 (Bunderan HI),52,4,34,30,17,52,PM10,SEDANG
2010-02-18,DKI1 (Bunderan HI),41,5,26,14,10,41,PM10,BAIK
2010-02-19,DKI1 (Bunderan HI),37,4,43,17,17,43,CO,BAIK
2010-02-20,DKI1 (Bunderan HI),52,3,64,18,12,64,CO,SEDANG
2010-02-21,DKI1 (Bunderan HI),61,4,53,36,15,61,PM10,SEDANG
2010-02-22,DKI1 (Bunderan HI),34,4,31,23,16,34,PM10,BAIK
2010-02-23,DKI1 (Bunderan HI),57,7,35,42,18,57,PM10,SEDANG
2010-02-24,DKI1 (Bunderan HI),59,4,44,93,24,93,O3,SEDANG
2010-02-25,DKI1 (Bunderan HI),65,6,55,26,26,65,PM10,SEDANG
2010-02-26,DKI1 (Bunderan HI),68,9,67,67,22,68,PM10,SEDANG
2010-02-27,DKI1 (Bunderan HI),67,8,47,47,19,67,PM10,SEDANG
2010-02-28,DKI1 (Bunderan HI),65,6,38,80,23,80,O3,SEDANG
2010-02-01,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-02,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-03,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-04,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-05,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-06,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-07,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-08,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-09,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-10,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-11,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-12,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-13,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-14,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-15,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-16,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-17,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-18,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-19,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-20,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-21,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-22,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-23,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-02-24,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
