tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2011-04-01,DKI1 (Bunderan HI),23,14,20,21,5,23,PM10,BAIK
2011-04-02,DKI1 (Bunderan HI),24,15,24,25,6,25,O3,BAIK
2011-04-03,DKI1 (Bunderan HI),24,14,13,22,7,24,PM10,BAIK
2011-04-04,DKI1 (Bunderan HI),26,15,23,25,9,26,PM10,BAIK
2011-04-05,DKI1 (Bunderan HI),23,14,21,27,7,27,O3,BAIK
2011-04-06,DKI1 (Bunderan HI),25,14,19,23,6,25,PM10,BAIK
2011-04-07,DKI1 (Bunderan HI),27,15,20,28,8,28,O3,BAIK
2011-04-08,DKI1 (Bunderan HI),40,18,24,44,12,44,O3,BAIK
2011-04-09,DKI1 (Bunderan HI),50,21,33,24,12,50,PM10,BAIK
2011-04-10,DKI1 (Bunderan HI),39,16,23,42,9,42,O3,BAIK
2011-04-11,DKI1 (Bunderan HI),40,17,30,37,11,40,PM10,BAIK
2011-04-12,DKI1 (Bunderan HI),62,22,35,67,19,67,O3,SEDANG
2011-04-13,DKI1 (Bunderan HI),62,23,32,82,17,82,O3,SEDANG
2011-04-14,DKI1 (Bunderan HI),62,22,35,55,26,62,PM10,SEDANG
2011-04-15,DKI1 (Bunderan HI),65,23,36,76,23,76,O3,SEDANG
2011-04-16,DKI1 (Bunderan HI),58,18,29,88,34,88,O3,SEDANG
2011-04-17,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-18,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-19,DKI1 (Bunderan HI),---,17,---,70,---,70,O3,SEDANG
2011-04-20,DKI1 (Bunderan HI),64,23,30,66,19,66,O3,SEDANG
2011-04-21,DKI1 (Bunderan HI),58,19,33,51,21,58,PM10,SEDANG
2011-04-22,DKI1 (Bunderan HI),55,16,26,125,15,125,O3,TIDAK SEHAT
2011-04-23,DKI1 (Bunderan HI),51,15,18,82,13,82,O3,SEDANG
2011-04-24,DKI1 (Bunderan HI),53,15,27,83,16,83,O3,SEDANG
2011-04-25,DKI1 (Bunderan HI),55,17,36,70,14,70,O3,SEDANG
2011-04-26,DKI1 (Bunderan HI),57,24,27,61,15,61,O3,SEDANG
2011-04-27,DKI1 (Bunderan HI),53,25,34,71,22,71,O3,SEDANG
2011-04-28,DKI1 (Bunderan HI),54,18,32,68,15,68,O3,SEDANG
2011-04-29,DKI1 (Bunderan HI),56,19,27,60,14,60,O3,SEDANG
2011-04-30,DKI1 (Bunderan HI),62,19,42,78,22,78,O3,SEDANG
2011-04-01,DKI2 (Kelapa Gading),16,5,16,21,8,21,O3,BAIK
2011-04-02,DKI2 (Kelapa Gading),16,5,18,26,6,26,O3,BAIK
2011-04-03,DKI2 (Kelapa Gading),18,4,13,28,5,28,O3,BAIK
2011-04-04,DKI2 (Kelapa Gading),19,5,15,39,12,39,O3,BAIK
2011-04-05,DKI2 (Kelapa Gading),19,6,12,42,15,42,O3,BAIK
2011-04-06,DKI2 (Kelapa Gading),19,5,12,38,6,38,O3,BAIK
2011-04-07,DKI2 (Kelapa Gading),19,6,13,36,12,36,O3,BAIK
2011-04-08,DKI2 (Kelapa Gading),31,11,16,32,15,32,O3,BAIK
2011-04-09,DKI2 (Kelapa Gading),31,10,21,44,11,44,O3,BAIK
2011-04-10,DKI2 (Kelapa Gading),29,10,17,49,19,49,O3,BAIK
2011-04-11,DKI2 (Kelapa Gading),38,9,12,35,14,38,PM10,BAIK
2011-04-12,DKI2 (Kelapa Gading),55,11,31,90,18,90,O3,SEDANG
2011-04-13,DKI2 (Kelapa Gading),59,17,24,115,17,115,O3,TIDAK SEHAT
2011-04-14,DKI2 (Kelapa Gading),65,18,21,74,18,74,O3,SEDANG
2011-04-15,DKI2 (Kelapa Gading),56,15,22,94,15,94,O3,SEDANG
2011-04-16,DKI2 (Kelapa Gading),59,18,28,110,22,110,O3,TIDAK SEHAT
2011-04-17,DKI2 (Kelapa Gading),61,14,30,126,19,126,O3,TIDAK SEHAT
2011-04-18,DKI2 (Kelapa Gading),60,15,29,91,26,91,O3,SEDANG
2011-04-19,DKI2 (Kelapa Gading),55,15,28,91,19,91,O3,SEDANG
2011-04-20,DKI2 (Kelapa Gading),67,13,19,89,12,89,O3,SEDANG
2011-04-21,DKI2 (Kelapa Gading),55,12,26,66,22,66,O3,SEDANG
2011-04-22,DKI2 (Kelapa Gading),52,10,18,94,19,94,O3,SEDANG
2011-04-23,DKI2 (Kelapa Gading),53,9,17,127,16,127,O3,TIDAK SEHAT
2011-04-24,DKI2 (Kelapa Gading),52,13,21,46,12,52,PM10,SEDANG
2011-04-25,DKI2 (Kelapa Gading),56,15,39,48,15,56,PM10,SEDANG
2011-04-26,DKI2 (Kelapa Gading),53,13,18,49,10,53,PM10,SEDANG
2011-04-27,DKI2 (Kelapa Gading),52,13,29,58,19,58,O3,SEDANG
2011-04-28,DKI2 (Kelapa Gading),49,14,28,45,10,49,PM10,BAIK
2011-04-29,DKI2 (Kelapa Gading),55,10,15,49,11,55,PM10,SEDANG
2011-04-30,DKI2 (Kelapa Gading),57,10,35,68,23,68,O3,SEDANG
2011-04-01,DKI3 (Jagakarsa),25,2,6,11,---,25,PM10,BAIK
2011-04-02,DKI3 (Jagakarsa),19,2,4,12,---,19,PM10,BAIK
2011-04-03,DKI3 (Jagakarsa),15,2,6,16,---,16,O3,BAIK
2011-04-04,DKI3 (Jagakarsa),13,2,9,23,3,23,O3,BAIK
2011-04-05,DKI3 (Jagakarsa),20,2,5,17,---,20,PM10,BAIK
2011-04-06,DKI3 (Jagakarsa),21,3,6,22,3,22,O3,BAIK
2011-04-07,DKI3 (Jagakarsa),14,3,10,16,3,16,O3,BAIK
2011-04-08,DKI3 (Jagakarsa),19,3,11,35,5,35,O3,BAIK
2011-04-09,DKI3 (Jagakarsa),25,3,14,31,5,31,O3,BAIK
2011-04-10,DKI3 (Jagakarsa),18,3,20,26,4,26,O3,BAIK
2011-04-11,DKI3 (Jagakarsa),25,3,15,30,9,30,O3,BAIK
2011-04-12,DKI3 (Jagakarsa),25,4,18,70,9,70,O3,SEDANG
2011-04-13,DKI3 (Jagakarsa),15,5,20,116,10,116,O3,TIDAK SEHAT
2011-04-14,DKI3 (Jagakarsa),61,4,27,71,13,71,O3,SEDANG
2011-04-15,DKI3 (Jagakarsa),57,4,25,122,9,122,O3,TIDAK SEHAT
2011-04-16,DKI3 (Jagakarsa),58,6,21,171,12,171,O3,TIDAK SEHAT
2011-04-17,DKI3 (Jagakarsa),48,4,25,69,8,69,O3,SEDANG
2011-04-18,DKI3 (Jagakarsa),42,5,14,124,8,124,O3,TIDAK SEHAT
2011-04-19,DKI3 (Jagakarsa),50,4,22,128,14,128,O3,TIDAK SEHAT
2011-04-20,DKI3 (Jagakarsa),57,5,26,85,15,85,O3,SEDANG
2011-04-21,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-22,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-23,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-24,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-25,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-26,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-27,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-28,DKI3 (Jagakarsa),53,4,21,69,11,69,O3,SEDANG
2011-04-29,DKI3 (Jagakarsa),56,4,25,76,9,76,O3,SEDANG
2011-04-30,DKI3 (Jagakarsa),54,3,23,75,7,75,O3,SEDANG
2011-04-01,DKI4 (Lubang Buaya),45,2,10,14,7,45,PM10,BAIK
2011-04-02,DKI4 (Lubang Buaya),48,2,7,17,6,48,PM10,BAIK
2011-04-03,DKI4 (Lubang Buaya),52,2,8,18,6,52,PM10,SEDANG
2011-04-04,DKI4 (Lubang Buaya),50,3,13,24,10,50,PM10,BAIK
2011-04-05,DKI4 (Lubang Buaya),59,3,9,22,10,59,PM10,SEDANG
2011-04-06,DKI4 (Lubang Buaya),52,2,7,21,8,52,PM10,SEDANG
2011-04-07,DKI4 (Lubang Buaya),57,3,9,19,7,57,PM10,SEDANG
2011-04-08,DKI4 (Lubang Buaya),55,4,13,32,12,55,PM10,SEDANG
2011-04-09,DKI4 (Lubang Buaya),---,4,26,27,14,27,O3,BAIK
2011-04-10,DKI4 (Lubang Buaya),---,3,18,29,10,29,O3,BAIK
2011-04-11,DKI4 (Lubang Buaya),---,5,18,44,23,44,O3,BAIK
2011-04-12,DKI4 (Lubang Buaya),72,7,29,81,16,81,O3,SEDANG
2011-04-13,DKI4 (Lubang Buaya),80,5,21,51,25,80,PM10,SEDANG
2011-04-14,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-15,DKI4 (Lubang Buaya),---,6,27,99,20,99,O3,SEDANG
2011-04-16,DKI4 (Lubang Buaya),84,5,22,90,23,90,O3,SEDANG
2011-04-17,DKI4 (Lubang Buaya),77,4,51,89,15,89,O3,SEDANG
2011-04-18,DKI4 (Lubang Buaya),64,3,22,109,18,109,O3,TIDAK SEHAT
2011-04-19,DKI4 (Lubang Buaya),65,4,38,116,29,116,O3,TIDAK SEHAT
2011-04-20,DKI4 (Lubang Buaya),77,4,28,84,19,84,O3,SEDANG
2011-04-21,DKI4 (Lubang Buaya),62,6,22,94,27,94,O3,SEDANG
2011-04-22,DKI4 (Lubang Buaya),66,6,21,122,22,122,O3,TIDAK SEHAT
2011-04-23,DKI4 (Lubang Buaya),62,4,12,69,22,69,O3,SEDANG
2011-04-24,DKI4 (Lubang Buaya),64,3,27,40,14,64,PM10,SEDANG
2011-04-25,DKI4 (Lubang Buaya),65,4,39,68,16,68,O3,SEDANG
2011-04-26,DKI4 (Lubang Buaya),71,5,22,62,14,71,PM10,SEDANG
2011-04-27,DKI4 (Lubang Buaya),68,4,43,60,22,68,PM10,SEDANG
2011-04-28,DKI4 (Lubang Buaya),62,4,22,51,11,62,PM10,SEDANG
2011-04-29,DKI4 (Lubang Buaya),77,4,19,54,20,77,PM10,SEDANG
2011-04-30,DKI4 (Lubang Buaya),74,4,35,56,18,74,PM10,SEDANG
2011-04-01,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-02,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-03,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-04,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-05,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-06,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-07,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-08,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-09,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-10,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-11,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-12,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-13,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-14,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-15,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-16,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-17,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-18,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-19,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-20,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-21,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-22,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-23,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-24,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-25,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-26,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-27,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-28,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-29,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-04-30,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
