tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2011-05-01,DKI1 (Bunderan HI),59,18,51,88,20,88,O3,SEDANG
2011-05-02,DKI1 (Bunderan HI),39,19,35,93,21,93,O3,SEDANG
2011-05-03,DKI1 (Bunderan HI),61,22,31,69,14,69,O3,SEDANG
2011-05-04,DKI1 (Bunderan HI),39,18,26,47,12,47,O3,BAIK
2011-05-05,DKI1 (Bunderan HI),39,17,28,63,11,63,O3,SEDANG
2011-05-06,DKI1 (Bunderan HI),46,22,36,62,14,62,O3,SEDANG
2011-05-07,DKI1 (Bunderan HI),39,22,30,63,10,63,O3,SEDANG
2011-05-08,DKI1 (Bunderan HI),44,15,29,50,10,50,O3,BAIK
2011-05-09,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-10,DKI1 (Bunderan HI),57,20,29,107,19,107,O3,TIDAK SEHAT
2011-05-11,DKI1 (Bunderan HI),57,19,30,89,20,89,O3,SEDANG
2011-05-12,DKI1 (Bunderan HI),60,19,31,75,17,75,O3,SEDANG
2011-05-13,DKI1 (Bunderan HI),59,18,35,87,18,87,O3,SEDANG
2011-05-14,DKI1 (Bunderan HI),60,17,33,72,19,72,O3,SEDANG
2011-05-15,DKI1 (Bunderan HI),55,16,31,85,13,85,O3,SEDANG
2011-05-16,DKI1 (Bunderan HI),53,17,30,89,22,89,O3,SEDANG
2011-05-17,DKI1 (Bunderan HI),55,18,28,77,18,77,O3,SEDANG
2011-05-18,DKI1 (Bunderan HI),52,18,34,77,19,77,O3,SEDANG
2011-05-19,DKI1 (Bunderan HI),67,20,41,71,19,71,O3,SEDANG
2011-05-20,DKI1 (Bunderan HI),53,20,36,78,19,78,O3,SEDANG
2011-05-21,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-22,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-23,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-24,DKI1 (Bunderan HI),55,19,34,3,19,55,PM10,SEDANG
2011-05-25,DKI1 (Bunderan HI),55,21,37,4,19,55,PM10,SEDANG
2011-05-26,DKI1 (Bunderan HI),58,19,40,5,22,58,PM10,SEDANG
2011-05-27,DKI1 (Bunderan HI),59,21,37,48,18,59,PM10,SEDANG
2011-05-28,DKI1 (Bunderan HI),59,21,30,68,15,68,O3,SEDANG
2011-05-29,DKI1 (Bunderan HI),62,23,19,89,14,89,O3,SEDANG
2011-05-30,DKI1 (Bunderan HI),61,20,32,51,18,61,PM10,SEDANG
2011-05-31,DKI1 (Bunderan HI),62,21,35,79,26,79,O3,SEDANG
2011-05-01,DKI2 (Kelapa Gading),49,7,41,67,18,67,O3,SEDANG
2011-05-02,DKI2 (Kelapa Gading),51,11,22,92,29,92,O3,SEDANG
2011-05-03,DKI2 (Kelapa Gading),60,15,25,58,28,60,PM10,SEDANG
2011-05-04,DKI2 (Kelapa Gading),33,7,20,43,15,43,O3,BAIK
2011-05-05,DKI2 (Kelapa Gading),33,8,18,28,20,33,PM10,BAIK
2011-05-06,DKI2 (Kelapa Gading),43,8,34,65,16,65,O3,SEDANG
2011-05-07,DKI2 (Kelapa Gading),36,8,31,47,13,47,O3,BAIK
2011-05-08,DKI2 (Kelapa Gading),34,6,39,32,13,39,CO,BAIK
2011-05-09,DKI2 (Kelapa Gading),42,9,20,143,11,143,O3,TIDAK SEHAT
2011-05-10,DKI2 (Kelapa Gading),59,12,20,90,13,90,O3,SEDANG
2011-05-11,DKI2 (Kelapa Gading),44,19,16,84,13,84,O3,SEDANG
2011-05-12,DKI2 (Kelapa Gading),53,10,15,59,13,59,O3,SEDANG
2011-05-13,DKI2 (Kelapa Gading),51,14,19,63,18,63,O3,SEDANG
2011-05-14,DKI2 (Kelapa Gading),---,17,25,47,20,47,O3,BAIK
2011-05-15,DKI2 (Kelapa Gading),---,11,31,95,19,95,O3,SEDANG
2011-05-16,DKI2 (Kelapa Gading),---,17,23,113,19,113,O3,TIDAK SEHAT
2011-05-17,DKI2 (Kelapa Gading),---,23,25,61,17,61,O3,SEDANG
2011-05-18,DKI2 (Kelapa Gading),---,14,24,73,17,73,O3,SEDANG
2011-05-19,DKI2 (Kelapa Gading),73,18,32,55,19,73,PM10,SEDANG
2011-05-20,DKI2 (Kelapa Gading),54,11,20,84,16,84,O3,SEDANG
2011-05-21,DKI2 (Kelapa Gading),58,15,34,70,22,70,O3,SEDANG
2011-05-22,DKI2 (Kelapa Gading),56,11,21,71,11,71,O3,SEDANG
2011-05-23,DKI2 (Kelapa Gading),61,15,30,79,19,79,O3,SEDANG
2011-05-24,DKI2 (Kelapa Gading),54,18,16,55,18,55,O3,SEDANG
2011-05-25,DKI2 (Kelapa Gading),49,9,21,84,22,84,O3,SEDANG
2011-05-26,DKI2 (Kelapa Gading),56,11,26,54,25,56,PM10,SEDANG
2011-05-27,DKI2 (Kelapa Gading),57,12,29,60,16,60,O3,SEDANG
2011-05-28,DKI2 (Kelapa Gading),61,15,18,62,13,62,O3,SEDANG
2011-05-29,DKI2 (Kelapa Gading),67,19,15,81,13,81,O3,SEDANG
2011-05-30,DKI2 (Kelapa Gading),61,12,21,66,16,66,O3,SEDANG
2011-05-31,DKI2 (Kelapa Gading),64,17,24,93,21,93,O3,SEDANG
2011-05-01,DKI3 (Jagakarsa),52,3,25,66,7,66,O3,SEDANG
2011-05-02,DKI3 (Jagakarsa),44,4,13,78,9,78,O3,SEDANG
2011-05-03,DKI3 (Jagakarsa),44,3,22,26,9,44,PM10,BAIK
2011-05-04,DKI3 (Jagakarsa),40,3,18,29,5,40,PM10,BAIK
2011-05-05,DKI3 (Jagakarsa),53,3,18,19,6,53,PM10,SEDANG
2011-05-06,DKI3 (Jagakarsa),35,3,29,44,6,44,O3,BAIK
2011-05-07,DKI3 (Jagakarsa),29,3,22,54,6,54,O3,SEDANG
2011-05-08,DKI3 (Jagakarsa),49,3,33,32,7,49,PM10,BAIK
2011-05-09,DKI3 (Jagakarsa),34,3,14,94,6,94,O3,SEDANG
2011-05-10,DKI3 (Jagakarsa),47,5,22,137,16,137,O3,TIDAK SEHAT
2011-05-11,DKI3 (Jagakarsa),46,4,25,92,8,92,O3,SEDANG
2011-05-12,DKI3 (Jagakarsa),57,5,32,82,20,82,O3,SEDANG
2011-05-13,DKI3 (Jagakarsa),57,4,22,80,10,80,O3,SEDANG
2011-05-14,DKI3 (Jagakarsa),59,3,37,84,20,84,O3,SEDANG
2011-05-15,DKI3 (Jagakarsa),39,3,20,99,6,99,O3,SEDANG
2011-05-16,DKI3 (Jagakarsa),40,4,16,139,10,139,O3,TIDAK SEHAT
2011-05-17,DKI3 (Jagakarsa),44,4,21,133,12,133,O3,TIDAK SEHAT
2011-05-18,DKI3 (Jagakarsa),40,4,21,84,9,84,O3,SEDANG
2011-05-19,DKI3 (Jagakarsa),78,4,42,88,12,88,O3,SEDANG
2011-05-20,DKI3 (Jagakarsa),55,4,15,107,8,107,O3,TIDAK SEHAT
2011-05-21,DKI3 (Jagakarsa),48,4,21,82,8,82,O3,SEDANG
2011-05-22,DKI3 (Jagakarsa),63,4,32,78,10,78,O3,SEDANG
2011-05-23,DKI3 (Jagakarsa),56,5,20,140,12,140,O3,TIDAK SEHAT
2011-05-24,DKI3 (Jagakarsa),55,4,21,96,9,96,O3,SEDANG
2011-05-25,DKI3 (Jagakarsa),53,5,17,113,20,113,O3,TIDAK SEHAT
2011-05-26,DKI3 (Jagakarsa),54,4,17,114,11,114,O3,TIDAK SEHAT
2011-05-27,DKI3 (Jagakarsa),56,5,20,95,18,95,O3,SEDANG
2011-05-28,DKI3 (Jagakarsa),57,5,35,111,9,111,O3,TIDAK SEHAT
2011-05-29,DKI3 (Jagakarsa),69,5,31,107,15,107,O3,TIDAK SEHAT
2011-05-30,DKI3 (Jagakarsa),66,4,25,98,9,98,O3,SEDANG
2011-05-31,DKI3 (Jagakarsa),57,4,15,87,10,87,O3,SEDANG
2011-05-01,DKI4 (Lubang Buaya),71,4,54,66,31,71,PM10,SEDANG
2011-05-02,DKI4 (Lubang Buaya),61,5,16,98,12,98,O3,SEDANG
2011-05-03,DKI4 (Lubang Buaya),69,6,22,35,18,69,PM10,SEDANG
2011-05-04,DKI4 (Lubang Buaya),63,4,19,32,17,63,PM10,SEDANG
2011-05-05,DKI4 (Lubang Buaya),76,4,20,25,16,76,PM10,SEDANG
2011-05-06,DKI4 (Lubang Buaya),58,4,34,63,23,63,O3,SEDANG
2011-05-07,DKI4 (Lubang Buaya),63,3,38,66,14,66,O3,SEDANG
2011-05-08,DKI4 (Lubang Buaya),56,4,42,32,13,56,PM10,SEDANG
2011-05-09,DKI4 (Lubang Buaya),51,5,20,153,27,153,O3,TIDAK SEHAT
2011-05-10,DKI4 (Lubang Buaya),78,5,27,127,24,127,O3,TIDAK SEHAT
2011-05-11,DKI4 (Lubang Buaya),79,5,22,76,29,79,PM10,SEDANG
2011-05-12,DKI4 (Lubang Buaya),84,4,32,57,18,84,PM10,SEDANG
2011-05-13,DKI4 (Lubang Buaya),---,3,27,65,16,65,O3,SEDANG
2011-05-14,DKI4 (Lubang Buaya),66,3,33,64,27,66,PM10,SEDANG
2011-05-15,DKI4 (Lubang Buaya),66,3,30,70,20,70,O3,SEDANG
2011-05-16,DKI4 (Lubang Buaya),61,5,26,96,27,96,O3,SEDANG
2011-05-17,DKI4 (Lubang Buaya),63,4,30,87,21,87,O3,SEDANG
2011-05-18,DKI4 (Lubang Buaya),69,4,22,85,14,85,O3,SEDANG
2011-05-19,DKI4 (Lubang Buaya),89,4,43,51,22,89,PM10,SEDANG
2011-05-20,DKI4 (Lubang Buaya),68,4,18,78,18,78,O3,SEDANG
2011-05-21,DKI4 (Lubang Buaya),70,4,31,65,26,70,PM10,SEDANG
2011-05-22,DKI4 (Lubang Buaya),84,4,38,72,11,84,PM10,SEDANG
2011-05-23,DKI4 (Lubang Buaya),75,4,32,136,30,136,O3,TIDAK SEHAT
2011-05-24,DKI4 (Lubang Buaya),68,4,16,93,13,93,O3,SEDANG
2011-05-25,DKI4 (Lubang Buaya),64,4,14,86,13,86,O3,SEDANG
2011-05-26,DKI4 (Lubang Buaya),66,4,21,48,21,66,PM10,SEDANG
2011-05-27,DKI4 (Lubang Buaya),72,6,22,63,17,72,PM10,SEDANG
2011-05-28,DKI4 (Lubang Buaya),86,4,23,74,17,86,PM10,SEDANG
2011-05-29,DKI4 (Lubang Buaya),97,5,26,68,17,97,PM10,SEDANG
2011-05-30,DKI4 (Lubang Buaya),92,4,26,96,21,96,O3,SEDANG
2011-05-31,DKI4 (Lubang Buaya),81,4,21,82,23,82,O3,SEDANG
2011-05-01,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-02,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-03,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-04,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-05,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-06,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-07,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-08,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-09,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-10,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-11,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-12,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-13,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-14,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-15,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-16,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-17,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-18,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-19,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-20,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-21,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-22,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-23,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-24,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-25,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-26,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-27,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-28,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
2011-05-29,DKI5 (Kebon Jeruk),---,---,---,---,---,0,,TIDAK ADA DATA
