tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2011-09-01,DKI1 (Bunderan HI),53,10,13,59,14,59,O3,SEDANG
2011-09-02,DKI1 (Bunderan HI),53,11,12,60,8,60,O3,SEDANG
2011-09-03,DKI1 (Bunderan HI),52,9,12,94,11,94,O3,SEDANG
2011-09-04,DKI1 (Bunderan HI),56,11,14,63,14,63,O3,SEDANG
2011-09-05,DKI1 (Bunderan HI),62,12,23,63,13,63,O3,SEDANG
2011-09-06,DKI1 (Bunderan HI),55,12,22,57,13,57,O3,SEDANG
2011-09-07,DKI1 (Bunderan HI),63,14,25,61,15,63,PM10,SEDANG
2011-09-08,DKI1 (Bunderan HI),68,16,28,117,16,117,O3,TIDAK SEHAT
2011-09-09,DKI1 (Bunderan HI),63,14,25,99,18,99,O3,SEDANG
2011-09-10,DKI1 (Bunderan HI),59,13,22,91,16,91,O3,SEDANG
2011-09-11,DKI1 (Bunderan HI),59,11,17,66,16,66,O3,SEDANG
2011-09-12,DKI1 (Bunderan HI),65,14,27,68,16,68,O3,SEDANG
2011-09-13,DKI1 (Bunderan HI),69,15,28,84,22,84,O3,SEDANG
2011-09-14,DKI1 (Bunderan HI),59,14,25,51,12,59,PM10,SEDANG
2011-09-15,DKI1 (Bunderan HI),63,19,26,55,15,63,PM10,SEDANG
2011-09-16,DKI1 (Bunderan HI),62,13,34,79,20,79,O3,SEDANG
2011-09-17,DKI1 (Bunderan HI),57,11,30,89,19,89,O3,SEDANG
2011-09-18,DKI1 (Bunderan HI),66,12,26,87,14,87,O3,SEDANG
2011-09-19,DKI1 (Bunderan HI),59,15,31,74,22,74,O3,SEDANG
2011-09-20,DKI1 (Bunderan HI),64,16,31,100,23,100,O3,SEDANG
2011-09-21,DKI1 (Bunderan HI),75,19,30,81,19,81,O3,SEDANG
2011-09-22,DKI1 (Bunderan HI),61,19,29,129,30,129,O3,TIDAK SEHAT
2011-09-23,DKI1 (Bunderan HI),82,26,28,117,19,117,O3,TIDAK SEHAT
2011-09-24,DKI1 (Bunderan HI),71,19,25,91,22,91,O3,SEDANG
2011-09-25,DKI1 (Bunderan HI),65,16,20,92,16,92,O3,SEDANG
2011-09-26,DKI1 (Bunderan HI),64,25,24,87,18,87,O3,SEDANG
2011-09-27,DKI1 (Bunderan HI),65,26,27,73,15,73,O3,SEDANG
2011-09-28,DKI1 (Bunderan HI),69,24,27,69,19,69,PM10,SEDANG
2011-09-29,DKI1 (Bunderan HI),63,17,29,72,20,72,O3,SEDANG
2011-09-30,DKI1 (Bunderan HI),75,23,27,64,23,75,PM10,SEDANG
2011-09-01,DKI2 (Kelapa Gading),49,9,12,97,8,97,O3,SEDANG
2011-09-02,DKI2 (Kelapa Gading),56,11,11,65,8,65,O3,SEDANG
2011-09-03,DKI2 (Kelapa Gading),55,9,12,89,8,89,O3,SEDANG
2011-09-04,DKI2 (Kelapa Gading),60,9,17,72,10,72,O3,SEDANG
2011-09-05,DKI2 (Kelapa Gading),63,9,25,75,14,75,O3,SEDANG
2011-09-06,DKI2 (Kelapa Gading),---,10,17,68,12,68,O3,SEDANG
2011-09-07,DKI2 (Kelapa Gading),---,14,17,62,12,62,O3,SEDANG
2011-09-08,DKI2 (Kelapa Gading),---,14,14,159,13,159,O3,TIDAK SEHAT
2011-09-09,DKI2 (Kelapa Gading),---,12,20,88,22,88,O3,SEDANG
2011-09-10,DKI2 (Kelapa Gading),---,12,12,117,11,117,O3,TIDAK SEHAT
2011-09-11,DKI2 (Kelapa Gading),---,10,13,71,11,71,O3,SEDANG
2011-09-12,DKI2 (Kelapa Gading),---,12,16,69,16,69,O3,SEDANG
2011-09-13,DKI2 (Kelapa Gading),---,13,16,96,15,96,O3,SEDANG
2011-09-14,DKI2 (Kelapa Gading),---,12,12,57,11,57,O3,SEDANG
2011-09-15,DKI2 (Kelapa Gading),---,14,16,49,17,49,O3,BAIK
2011-09-16,DKI2 (Kelapa Gading),---,13,20,89,17,89,O3,SEDANG
2011-09-17,DKI2 (Kelapa Gading),---,9,11,87,14,87,O3,SEDANG
2011-09-18,DKI2 (Kelapa Gading),---,12,25,81,16,81,O3,SEDANG
2011-09-19,DKI2 (Kelapa Gading),---,12,24,104,18,104,O3,TIDAK SEHAT
2011-09-20,DKI2 (Kelapa Gading),---,14,25,125,19,125,O3,TIDAK SEHAT
2011-09-21,DKI2 (Kelapa Gading),84,13,16,84,17,84,PM10,SEDANG
2011-09-22,DKI2 (Kelapa Gading),72,14,14,149,19,149,O3,TIDAK SEHAT
2011-09-23,DKI2 (Kelapa Gading),87,16,20,201,15,201,O3,SANGAT TIDAK SEHAT
2011-09-24,DKI2 (Kelapa Gading),80,13,19,89,19,89,O3,SEDANG
2011-09-25,DKI2 (Kelapa Gading),76,13,17,95,12,95,O3,SEDANG
2011-09-26,DKI2 (Kelapa Gading),67,12,18,147,16,147,O3,TIDAK SEHAT
2011-09-27,DKI2 (Kelapa Gading),78,15,17,119,28,119,O3,TIDAK SEHAT
2011-09-28,DKI2 (Kelapa Gading),75,14,15,74,15,75,PM10,SEDANG
2011-09-29,DKI2 (Kelapa Gading),65,11,16,125,21,125,O3,TIDAK SEHAT
2011-09-30,DKI2 (Kelapa Gading),85,16,18,88,15,88,O3,SEDANG
2011-09-01,DKI3 (Jagakarsa),50,4,11,75,4,75,O3,SEDANG
2011-09-02,DKI3 (Jagakarsa),58,5,25,76,10,76,O3,SEDANG
2011-09-03,DKI3 (Jagakarsa),51,5,9,102,5,102,O3,TIDAK SEHAT
2011-09-04,DKI3 (Jagakarsa),58,5,12,98,10,98,O3,SEDANG
2011-09-05,DKI3 (Jagakarsa),62,5,20,79,7,79,O3,SEDANG
2011-09-06,DKI3 (Jagakarsa),56,5,10,71,6,71,O3,SEDANG
2011-09-07,DKI3 (Jagakarsa),61,5,15,89,9,89,O3,SEDANG
2011-09-08,DKI3 (Jagakarsa),75,6,18,132,8,132,O3,TIDAK SEHAT
2011-09-09,DKI3 (Jagakarsa),59,5,16,136,6,136,O3,TIDAK SEHAT
2011-09-10,DKI3 (Jagakarsa),62,5,13,104,7,104,O3,TIDAK SEHAT
2011-09-11,DKI3 (Jagakarsa),56,5,10,99,6,99,O3,SEDANG
2011-09-12,DKI3 (Jagakarsa),62,5,15,86,8,86,O3,SEDANG
2011-09-13,DKI3 (Jagakarsa),67,6,15,141,6,141,O3,TIDAK SEHAT
2011-09-14,DKI3 (Jagakarsa),60,6,10,70,8,70,O3,SEDANG
2011-09-15,DKI3 (Jagakarsa),63,6,17,82,8,82,O3,SEDANG
2011-09-16,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-09-17,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-09-18,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-09-19,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2011-09-20,DKI3 (Jagakarsa),58,5,13,85,5,85,O3,SEDANG
2011-09-21,DKI3 (Jagakarsa),85,6,52,130,17,130,O3,TIDAK SEHAT
2011-09-22,DKI3 (Jagakarsa),65,7,14,177,12,177,O3,TIDAK SEHAT
2011-09-23,DKI3 (Jagakarsa),69,8,15,159,11,159,O3,TIDAK SEHAT
2011-09-24,DKI3 (Jagakarsa),65,7,14,138,8,138,O3,TIDAK SEHAT
2011-09-25,DKI3 (Jagakarsa),62,6,16,102,12,102,O3,TIDAK SEHAT
2011-09-26,DKI3 (Jagakarsa),53,6,11,115,14,115,O3,TIDAK SEHAT
2011-09-27,DKI3 (Jagakarsa),57,8,11,75,18,75,O3,SEDANG
2011-09-28,DKI3 (Jagakarsa),58,6,9,127,7,127,O3,TIDAK SEHAT
2011-09-29,DKI3 (Jagakarsa),57,7,11,147,11,147,O3,TIDAK SEHAT
2011-09-30,DKI3 (Jagakarsa),65,7,18,112,12,112,O3,TIDAK SEHAT
2011-09-01,DKI4 (Lubang Buaya),68,5,12,55,9,68,PM10,SEDANG
2011-09-02,DKI4 (Lubang Buaya),92,5,15,52,8,92,PM10,SEDANG
2011-09-03,DKI4 (Lubang Buaya),79,5,10,65,6,79,PM10,SEDANG
2011-09-04,DKI4 (Lubang Buaya),94,5,15,67,11,94,PM10,SEDANG
2011-09-05,DKI4 (Lubang Buaya),154,5,28,59,11,154,PM10,TIDAK SEHAT
2011-09-06,DKI4 (Lubang Buaya),112,6,19,55,9,112,PM10,TIDAK SEHAT
2011-09-07,DKI4 (Lubang Buaya),120,6,19,69,11,120,PM10,TIDAK SEHAT
2011-09-08,DKI4 (Lubang Buaya),92,6,20,90,11,92,PM10,SEDANG
2011-09-09,DKI4 (Lubang Buaya),120,7,19,70,13,120,PM10,TIDAK SEHAT
2011-09-10,DKI4 (Lubang Buaya),94,6,18,81,11,94,PM10,SEDANG
2011-09-11,DKI4 (Lubang Buaya),98,6,16,61,9,98,PM10,SEDANG
2011-09-12,DKI4 (Lubang Buaya),122,6,15,68,11,122,PM10,TIDAK SEHAT
2011-09-13,DKI4 (Lubang Buaya),113,6,23,89,11,113,PM10,TIDAK SEHAT
2011-09-14,DKI4 (Lubang Buaya),88,6,9,44,7,88,PM10,SEDANG
2011-09-15,DKI4 (Lubang Buaya),108,6,16,52,13,108,PM10,TIDAK SEHAT
2011-09-16,DKI4 (Lubang Buaya),94,6,16,84,12,94,PM10,SEDANG
2011-09-17,DKI4 (Lubang Buaya),100,8,12,62,10,100,PM10,SEDANG
2011-09-18,DKI4 (Lubang Buaya),148,6,26,64,10,148,PM10,TIDAK SEHAT
2011-09-19,DKI4 (Lubang Buaya),87,7,15,89,15,89,O3,SEDANG
2011-09-20,DKI4 (Lubang Buaya),81,6,17,48,16,81,PM10,SEDANG
2011-09-21,DKI4 (Lubang Buaya),95,6,35,87,13,95,PM10,SEDANG
2011-09-22,DKI4 (Lubang Buaya),76,9,17,119,18,119,O3,TIDAK SEHAT
