tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2013-11-01,DKI1 (Bunderan HI),69,8,34,84,22,84,O3,SEDANG
2013-11-02,DKI1 (Bunderan HI),59,8,44,74,23,74,O3,SEDANG
2013-11-03,DKI1 (Bunderan HI),---,9,28,76,13,76,O3,SEDANG
2013-11-04,DKI1 (Bunderan HI),66,8,30,83,21,83,O3,SEDANG
2013-11-05,DKI1 (Bunderan HI),71,8,31,89,18,89,O3,SEDANG
2013-11-06,DKI1 (Bunderan HI),74,7,32,99,19,99,O3,SEDANG
2013-11-07,DKI1 (Bunderan HI),75,10,36,85,28,85,O3,SEDANG
2013-11-08,DKI1 (Bunderan HI),75,9,35,84,25,84,O3,SEDANG
2013-11-09,DKI1 (Bunderan HI),59,8,49,43,19,59,PM10,SEDANG
2013-11-10,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-11-11,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-11-12,DKI1 (Bunderan HI),75,10,42,69,21,75,PM10,SEDANG
2013-11-13,DKI1 (Bunderan HI),60,5,37,87,19,87,O3,SEDANG
2013-11-14,DKI1 (Bunderan HI),68,6,60,114,20,114,O3,TIDAK SEHAT
2013-11-15,DKI1 (Bunderan HI),62,8,33,98,18,98,O3,SEDANG
2013-11-16,DKI1 (Bunderan HI),58,9,33,56,16,58,PM10,SEDANG
2013-11-17,DKI1 (Bunderan HI),49,5,32,58,13,58,O3,SEDANG
2013-11-18,DKI1 (Bunderan HI),48,7,29,43,12,48,PM10,BAIK
2013-11-19,DKI1 (Bunderan HI),48,8,26,29,9,48,PM10,BAIK
2013-11-20,DKI1 (Bunderan HI),39,8,21,19,9,39,PM10,BAIK
2013-11-21,DKI1 (Bunderan HI),51,9,28,37,16,51,PM10,SEDANG
2013-11-22,DKI1 (Bunderan HI),58,11,26,46,13,58,PM10,SEDANG
2013-11-23,DKI1 (Bunderan HI),59,13,27,59,17,59,PM10,SEDANG
2013-11-24,DKI1 (Bunderan HI),62,7,20,67,14,67,O3,SEDANG
2013-11-25,DKI1 (Bunderan HI),55,10,27,78,12,78,O3,SEDANG
2013-11-26,DKI1 (Bunderan HI),63,12,27,33,17,63,PM10,SEDANG
2013-11-27,DKI1 (Bunderan HI),58,10,35,65,20,65,O3,SEDANG
2013-11-28,DKI1 (Bunderan HI),80,13,32,67,18,80,PM10,SEDANG
2013-11-29,DKI1 (Bunderan HI),52,8,28,71,15,71,O3,SEDANG
2013-11-30,DKI1 (Bunderan HI),61,9,31,100,24,100,O3,SEDANG
2013-11-01,DKI2 (Kelapa Gading),59,35,22,123,19,123,O3,TIDAK SEHAT
2013-11-02,DKI2 (Kelapa Gading),57,29,35,78,25,78,O3,SEDANG
2013-11-03,DKI2 (Kelapa Gading),67,29,25,83,15,83,O3,SEDANG
2013-11-04,DKI2 (Kelapa Gading),56,25,18,123,16,123,O3,TIDAK SEHAT
2013-11-05,DKI2 (Kelapa Gading),58,23,17,118,14,118,O3,TIDAK SEHAT
2013-11-06,DKI2 (Kelapa Gading),65,30,26,155,19,155,O3,TIDAK SEHAT
2013-11-07,DKI2 (Kelapa Gading),70,34,25,94,24,94,O3,SEDANG
2013-11-08,DKI2 (Kelapa Gading),69,50,17,86,20,86,O3,SEDANG
2013-11-09,DKI2 (Kelapa Gading),73,55,26,57,18,73,PM10,SEDANG
2013-11-10,DKI2 (Kelapa Gading),59,30,25,131,16,131,O3,TIDAK SEHAT
2013-11-11,DKI2 (Kelapa Gading),56,26,24,97,19,97,O3,SEDANG
2013-11-12,DKI2 (Kelapa Gading),65,40,27,71,23,71,O3,SEDANG
2013-11-13,DKI2 (Kelapa Gading),59,45,22,94,18,94,O3,SEDANG
2013-11-14,DKI2 (Kelapa Gading),66,41,42,118,25,118,O3,TIDAK SEHAT
2013-11-15,DKI2 (Kelapa Gading),53,28,28,104,26,104,O3,TIDAK SEHAT
2013-11-16,DKI2 (Kelapa Gading),50,33,18,54,17,54,O3,SEDANG
2013-11-17,DKI2 (Kelapa Gading),32,24,21,52,13,52,O3,SEDANG
2013-11-18,DKI2 (Kelapa Gading),28,23,17,59,17,59,O3,SEDANG
2013-11-19,DKI2 (Kelapa Gading),40,23,19,59,9,59,O3,SEDANG
2013-11-20,DKI2 (Kelapa Gading),33,22,13,29,8,33,PM10,BAIK
2013-11-21,DKI2 (Kelapa Gading),35,22,17,58,14,58,O3,SEDANG
2013-11-22,DKI2 (Kelapa Gading),52,30,20,128,21,128,O3,TIDAK SEHAT
