tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2013-01-01,DKI1 (Bunderan HI),75,4,23,51,9,75,PM10,SEDANG
2013-01-02,DKI1 (Bunderan HI),35,4,21,34,8,35,PM10,BAIK
2013-01-03,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-04,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-05,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-06,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-07,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-08,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-09,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-10,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-11,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-12,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-13,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-14,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-15,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-16,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-17,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-18,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-19,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-20,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-21,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-22,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2013-01-23,DKI1 (Bunderan HI),57,3,50,35,12,57,PM10,SEDANG
2013-01-24,DKI1 (Bunderan HI),40,2,28,32,10,40,PM10,BAIK
2013-01-25,DKI1 (Bunderan HI),51,3,34,34,15,51,PM10,SEDANG
2013-01-26,DKI1 (Bunderan HI),62,3,45,44,15,62,PM10,SEDANG
2013-01-27,DKI1 (Bunderan HI),52,1,25,48,11,52,PM10,SEDANG
2013-01-28,DKI1 (Bunderan HI),41,2,29,33,14,41,PM10,BAIK
2013-01-29,DKI1 (Bunderan HI),69,4,32,36,15,69,PM10,SEDANG
2013-01-30,DKI1 (Bunderan HI),53,2,29,37,14,53,PM10,SEDANG
2013-01-31,DKI1 (Bunderan HI),70,2,34,59,17,70,PM10,SEDANG
