tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2014-12-01,DKI1 (Bunderan HI),31,12,20,29,10,31,PM10,BAIK
2014-12-02,DKI1 (Bunderan HI),30,12,24,43,13,43,O3,BAIK
2014-12-03,DKI1 (Bunderan HI),25,10,23,30,10,30,O3,BAIK
2014-12-04,DKI1 (Bunderan HI),28,11,29,39,16,39,O3,BAIK
2014-12-05,DKI1 (Bunderan HI),34,11,28,72,23,72,O3,SEDANG
2014-12-06,DKI1 (Bunderan HI),36,10,33,40,10,40,O3,BAIK
2014-12-07,DKI1 (Bunderan HI),43,9,51,40,9,51,CO,SEDANG
2014-12-08,DKI1 (Bunderan HI),25,9,19,49,11,49,O3,BAIK
2014-12-09,DKI1 (Bunderan HI),42,12,39,38,12,42,PM10,BAIK
2014-12-10,DKI1 (Bunderan HI),35,17,31,29,18,35,PM10,BAIK
2014-12-11,DKI1 (Bunderan HI),29,13,28,40,17,40,O3,BAIK
2014-12-12,DKI1 (Bunderan HI),28,13,23,43,14,43,O3,BAIK
2014-12-13,DKI1 (Bunderan HI),31,13,24,42,12,42,O3,BAIK
2014-12-14,DKI1 (Bunderan HI),47,14,23,37,12,47,PM10,BAIK
2014-12-15,DKI1 (Bunderan HI),26,12,23,36,12,36,O3,BAIK
2014-12-16,DKI1 (Bunderan HI),33,12,26,46,15,46,O3,BAIK
2014-12-17,DKI1 (Bunderan HI),22,10,25,40,13,40,O3,BAIK
2014-12-18,DKI1 (Bunderan HI),22,11,11,37,10,37,O3,BAIK
2014-12-19,DKI1 (Bunderan HI),62,10,19,46,15,62,PM10,SEDANG
2014-12-20,DKI1 (Bunderan HI),33,6,20,42,13,42,O3,BAIK
2014-12-21,DKI1 (Bunderan HI),---,7,39,48,14,48,O3,BAIK
2014-12-22,DKI1 (Bunderan HI),---,7,19,50,18,50,O3,BAIK
2014-12-23,DKI1 (Bunderan HI),---,6,25,33,13,33,O3,BAIK
2014-12-24,DKI1 (Bunderan HI),---,6,25,16,13,25,CO,BAIK
2014-12-25,DKI1 (Bunderan HI),---,6,25,16,13,25,CO,BAIK
2014-12-26,DKI1 (Bunderan HI),---,6,25,42,13,42,O3,BAIK
2014-12-27,DKI1 (Bunderan HI),28,5,17,31,16,31,O3,BAIK
2014-12-28,DKI1 (Bunderan HI),33,5,22,29,22,33,PM10,BAIK
2014-12-29,DKI1 (Bunderan HI),25,5,9,27,6,27,O3,BAIK
2014-12-30,DKI1 (Bunderan HI),33,6,11,22,8,33,PM10,BAIK
2014-12-31,DKI1 (Bunderan HI),24,5,11,26,11,26,O3,BAIK
2014-12-01,DKI2 (Kelapa Gading),33,14,13,34,12,34,O3,BAIK
2014-12-02,DKI2 (Kelapa Gading),43,16,16,49,13,49,O3,BAIK
2014-12-03,DKI2 (Kelapa Gading),33,13,13,52,11,52,O3,SEDANG
2014-12-04,DKI2 (Kelapa Gading),36,15,17,72,19,72,O3,SEDANG
2014-12-05,DKI2 (Kelapa Gading),50,18,16,103,16,103,O3,TIDAK SEHAT
2014-12-06,DKI2 (Kelapa Gading),54,14,43,53,13,54,PM10,SEDANG
2014-12-07,DKI2 (Kelapa Gading),52,15,39,56,11,56,O3,SEDANG
2014-12-08,DKI2 (Kelapa Gading),30,14,19,52,11,52,O3,SEDANG
2014-12-09,DKI2 (Kelapa Gading),41,15,24,47,12,47,O3,BAIK
2014-12-10,DKI2 (Kelapa Gading),38,17,13,51,11,51,O3,SEDANG
2014-12-11,DKI2 (Kelapa Gading),29,15,9,48,11,48,O3,BAIK
2014-12-12,DKI2 (Kelapa Gading),32,16,11,48,13,48,O3,BAIK
2014-12-13,DKI2 (Kelapa Gading),37,15,15,50,11,50,O3,BAIK
2014-12-14,DKI2 (Kelapa Gading),48,19,16,46,7,48,PM10,BAIK
2014-12-15,DKI2 (Kelapa Gading),25,16,10,41,12,41,O3,BAIK
2014-12-16,DKI2 (Kelapa Gading),35,16,10,56,19,56,O3,SEDANG
2014-12-17,DKI2 (Kelapa Gading),29,14,11,52,11,52,O3,SEDANG
2014-12-18,DKI2 (Kelapa Gading),31,29,23,37,10,37,O3,BAIK
2014-12-19,DKI2 (Kelapa Gading),60,34,30,13,13,60,PM10,SEDANG
2014-12-20,DKI2 (Kelapa Gading),37,30,30,11,13,37,PM10,BAIK
2014-12-21,DKI2 (Kelapa Gading),67,34,43,23,13,67,PM10,SEDANG
2014-12-22,DKI2 (Kelapa Gading),42,25,30,79,19,79,O3,SEDANG
2014-12-23,DKI2 (Kelapa Gading),39,3,37,55,18,55,O3,SEDANG
2014-12-24,DKI2 (Kelapa Gading),69,11,43,137,19,137,O3,TIDAK SEHAT
