tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2015-03-01,DKI1 (Bunderan HI),73,6,34,36,14,73,PM10,SEDANG
2015-03-02,DKI1 (Bunderan HI),57,8,15,38,18,57,PM10,SEDANG
2015-03-03,DKI1 (Bunderan HI),62,10,20,44,18,62,PM10,SEDANG
2015-03-04,DKI1 (Bunderan HI),59,11,36,38,19,59,PM10,SEDANG
2015-03-05,DKI1 (Bunderan HI),51,10,17,38,15,51,PM10,SEDANG
2015-03-06,DKI1 (Bunderan HI),66,13,29,47,16,66,PM10,SEDANG
2015-03-07,DKI1 (Bunderan HI),---,13,19,37,15,37,O3,BAIK
2015-03-08,DKI1 (Bunderan HI),---,9,18,36,15,36,O3,BAIK
2015-03-09,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2015-03-10,DKI1 (Bunderan HI),46,8,14,56,14,56,O3,SEDANG
2015-03-11,DKI1 (Bunderan HI),44,7,19,43,14,44,PM10,BAIK
2015-03-12,DKI1 (Bunderan HI),43,8,17,39,12,43,PM10,BAIK
2015-03-13,DKI1 (Bunderan HI),66,7,36,35,18,66,PM10,SEDANG
2015-03-14,DKI1 (Bunderan HI),70,7,26,36,13,70,PM10,SEDANG
2015-03-15,DKI1 (Bunderan HI),64,6,17,48,14,64,PM10,SEDANG
2015-03-16,DKI1 (Bunderan HI),55,6,22,42,15,55,PM10,SEDANG
2015-03-17,DKI1 (Bunderan HI),56,6,20,44,15,56,PM10,SEDANG
2015-03-18,DKI1 (Bunderan HI),62,7,22,79,25,79,O3,SEDANG
2015-03-19,DKI1 (Bunderan HI),59,6,24,58,26,59,PM10,SEDANG
2015-03-20,DKI1 (Bunderan HI),53,6,24,69,30,69,O3,SEDANG
2015-03-21,DKI1 (Bunderan HI),40,6,21,67,16,67,O3,SEDANG
2015-03-22,DKI1 (Bunderan HI),58,6,25,78,17,78,O3,SEDANG
2015-03-23,DKI1 (Bunderan HI),53,6,31,69,28,69,O3,SEDANG
2015-03-24,DKI1 (Bunderan HI),73,6,28,47,19,73,PM10,SEDANG
2015-03-25,DKI1 (Bunderan HI),69,7,32,37,18,69,PM10,SEDANG
2015-03-26,DKI1 (Bunderan HI),56,7,32,34,21,56,PM10,SEDANG
2015-03-27,DKI1 (Bunderan HI),62,7,29,57,20,62,PM10,SEDANG
2015-03-28,DKI1 (Bunderan HI),56,6,23,47,17,56,PM10,SEDANG
2015-03-29,DKI1 (Bunderan HI),59,7,27,50,12,59,PM10,SEDANG
2015-03-30,DKI1 (Bunderan HI),56,6,32,44,17,56,PM10,SEDANG
2015-03-31,DKI1 (Bunderan HI),49,6,24,45,18,49,PM10,BAIK
2015-03-01,DKI2 (Kelapa Gading),---,11,45,35,16,45,CO,BAIK
2015-03-02,DKI2 (Kelapa Gading),---,6,27,35,11,35,O3,BAIK
2015-03-03,DKI2 (Kelapa Gading),---,6,33,33,14,33,CO,BAIK
2015-03-04,DKI2 (Kelapa Gading),44,6,41,34,15,44,PM10,BAIK
2015-03-05,DKI2 (Kelapa Gading),32,4,29,22,10,32,PM10,BAIK
2015-03-06,DKI2 (Kelapa Gading),53,8,33,36,18,53,PM10,SEDANG
2015-03-07,DKI2 (Kelapa Gading),44,7,27,42,20,44,PM10,BAIK
2015-03-08,DKI2 (Kelapa Gading),39,5,36,28,17,39,PM10,BAIK
2015-03-09,DKI2 (Kelapa Gading),41,5,33,41,17,41,PM10,BAIK
2015-03-10,DKI2 (Kelapa Gading),30,4,26,58,25,58,O3,SEDANG
2015-03-11,DKI2 (Kelapa Gading),30,4,27,43,15,43,O3,BAIK
2015-03-12,DKI2 (Kelapa Gading),30,4,29,31,12,31,O3,BAIK
2015-03-13,DKI2 (Kelapa Gading),55,9,45,33,24,55,PM10,SEDANG
2015-03-14,DKI2 (Kelapa Gading),55,5,40,28,13,55,PM10,SEDANG
2015-03-15,DKI2 (Kelapa Gading),51,5,30,49,11,51,PM10,SEDANG
