tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2015-06-01,DKI1 (Bunderan HI),60,15,26,---,17,60,PM10,SEDANG
2015-06-02,DKI1 (Bunderan HI),76,15,35,---,17,76,PM10,SEDANG
2015-06-03,DKI1 (Bunderan HI),55,15,26,---,16,55,PM10,SEDANG
2015-06-04,DKI1 (Bunderan HI),71,15,27,---,12,71,PM10,SEDANG
2015-06-05,DKI1 (Bunderan HI),58,15,26,---,16,58,PM10,SEDANG
2015-06-06,DKI1 (Bunderan HI),69,16,27,46,22,69,PM10,SEDANG
2015-06-07,DKI1 (Bunderan HI),60,16,16,---,16,60,PM10,SEDANG
2015-06-08,DKI1 (Bunderan HI),74,16,31,---,15,74,PM10,SEDANG
2015-06-09,DKI1 (Bunderan HI),77,16,27,---,18,77,PM10,SEDANG
2015-06-10,DKI1 (Bunderan HI),78,18,47,---,21,78,PM10,SEDANG
2015-06-11,DKI1 (Bunderan HI),71,17,29,---,28,71,PM10,SEDANG
2015-06-12,DKI1 (Bunderan HI),86,24,33,---,19,86,PM10,SEDANG
2015-06-13,DKI1 (Bunderan HI),---,30,25,60,32,60,O3,SEDANG
2015-06-14,DKI1 (Bunderan HI),---,30,26,58,22,58,O3,SEDANG
2015-06-15,DKI1 (Bunderan HI),---,28,35,---,26,35,CO,BAIK
2015-06-16,DKI1 (Bunderan HI),80,32,28,59,29,80,PM10,SEDANG
2015-06-17,DKI1 (Bunderan HI),77,37,28,43,25,77,PM10,SEDANG
2015-06-18,DKI1 (Bunderan HI),72,34,24,46,19,72,PM10,SEDANG
2015-06-19,DKI1 (Bunderan HI),70,32,22,49,28,70,PM10,SEDANG
2015-06-20,DKI1 (Bunderan HI),72,37,17,43,25,72,PM10,SEDANG
2015-06-21,DKI1 (Bunderan HI),68,31,17,63,14,68,PM10,SEDANG
2015-06-22,DKI1 (Bunderan HI),64,26,17,---,16,64,PM10,SEDANG
2015-06-23,DKI1 (Bunderan HI),75,30,27,60,30,75,PM10,SEDANG
2015-06-24,DKI1 (Bunderan HI),80,34,29,50,29,80,PM10,SEDANG
2015-06-25,DKI1 (Bunderan HI),83,33,36,39,23,83,PM10,SEDANG
2015-06-26,DKI1 (Bunderan HI),76,34,21,37,18,76,PM10,SEDANG
2015-06-27,DKI1 (Bunderan HI),81,33,23,39,12,81,PM10,SEDANG
2015-06-28,DKI1 (Bunderan HI),69,26,16,---,15,69,PM10,SEDANG
2015-06-29,DKI1 (Bunderan HI),84,28,30,64,22,84,PM10,SEDANG
2015-06-30,DKI1 (Bunderan HI),81,31,27,---,22,81,PM10,SEDANG
2015-06-01,DKI2 (Kelapa Gading),74,8,27,49,12,74,PM10,SEDANG
2015-06-02,DKI2 (Kelapa Gading),75,18,45,48,17,75,PM10,SEDANG
2015-06-03,DKI2 (Kelapa Gading),54,8,28,58,13,58,O3,SEDANG
2015-06-04,DKI2 (Kelapa Gading),66,7,25,39,8,66,PM10,SEDANG
2015-06-05,DKI2 (Kelapa Gading),58,10,26,43,10,58,PM10,SEDANG
2015-06-06,DKI2 (Kelapa Gading),73,15,32,55,17,73,PM10,SEDANG
2015-06-07,DKI2 (Kelapa Gading),66,7,37,53,9,66,PM10,SEDANG
2015-06-08,DKI2 (Kelapa Gading),75,12,37,43,14,75,PM10,SEDANG
2015-06-09,DKI2 (Kelapa Gading),71,12,31,30,13,71,PM10,SEDANG
2015-06-10,DKI2 (Kelapa Gading),---,27,49,43,17,49,CO,BAIK
2015-06-11,DKI2 (Kelapa Gading),---,9,43,69,22,69,O3,SEDANG
2015-06-12,DKI2 (Kelapa Gading),72,8,43,107,19,107,O3,TIDAK SEHAT
2015-06-13,DKI2 (Kelapa Gading),81,28,29,78,14,81,PM10,SEDANG
2015-06-14,DKI2 (Kelapa Gading),73,13,36,71,14,73,PM10,SEDANG
2015-06-15,DKI2 (Kelapa Gading),75,15,36,72,19,75,PM10,SEDANG
2015-06-16,DKI2 (Kelapa Gading),74,11,39,69,20,74,PM10,SEDANG
2015-06-17,DKI2 (Kelapa Gading),81,18,32,60,17,81,PM10,SEDANG
2015-06-18,DKI2 (Kelapa Gading),78,16,29,52,16,78,PM10,SEDANG
2015-06-19,DKI2 (Kelapa Gading),78,20,27,87,14,87,O3,SEDANG
2015-06-20,DKI2 (Kelapa Gading),65,10,26,59,17,65,PM10,SEDANG
2015-06-21,DKI2 (Kelapa Gading),76,14,28,99,12,99,O3,SEDANG
2015-06-22,DKI2 (Kelapa Gading),60,8,31,92,10,92,O3,SEDANG
2015-06-23,DKI2 (Kelapa Gading),83,17,32,98,20,98,O3,SEDANG
2015-06-24,DKI2 (Kelapa Gading),86,17,34,66,17,86,PM10,SEDANG
2015-06-25,DKI2 (Kelapa Gading),77,15,38,53,17,77,PM10,SEDANG
2015-06-26,DKI2 (Kelapa Gading),83,20,29,51,15,83,PM10,SEDANG
2015-06-27,DKI2 (Kelapa Gading),77,23,31,53,12,77,PM10,SEDANG
2015-06-28,DKI2 (Kelapa Gading),67,21,26,84,11,84,O3,SEDANG
2015-06-29,DKI2 (Kelapa Gading),79,26,35,99,18,99,O3,SEDANG
2015-06-30,DKI2 (Kelapa Gading),68,14,29,75,15,75,O3,SEDANG
2015-06-01,DKI3 (Jagakarsa),10,11,35,53,8,53,O3,SEDANG
2015-06-02,DKI3 (Jagakarsa),14,11,39,77,12,77,O3,SEDANG
2015-06-03,DKI3 (Jagakarsa),12,10,30,84,5,84,O3,SEDANG
2015-06-04,DKI3 (Jagakarsa),12,11,42,60,8,60,O3,SEDANG
2015-06-05,DKI3 (Jagakarsa),34,12,31,51,8,51,O3,SEDANG
2015-06-06,DKI3 (Jagakarsa),28,12,42,56,10,56,O3,SEDANG
2015-06-07,DKI3 (Jagakarsa),34,11,35,65,6,65,O3,SEDANG
2015-06-08,DKI3 (Jagakarsa),76,11,45,54,9,76,PM10,SEDANG
2015-06-09,DKI3 (Jagakarsa),47,11,43,51,8,51,O3,SEDANG
2015-06-10,DKI3 (Jagakarsa),35,12,45,78,11,78,O3,SEDANG
2015-06-11,DKI3 (Jagakarsa),45,11,41,90,7,90,O3,SEDANG
2015-06-12,DKI3 (Jagakarsa),49,11,40,81,9,81,O3,SEDANG
2015-06-13,DKI3 (Jagakarsa),51,12,39,90,14,90,O3,SEDANG
2015-06-14,DKI3 (Jagakarsa),51,15,37,113,10,113,O3,TIDAK SEHAT
2015-06-15,DKI3 (Jagakarsa),53,12,34,108,11,108,O3,TIDAK SEHAT
2015-06-16,DKI3 (Jagakarsa),75,14,47,115,13,115,O3,TIDAK SEHAT
2015-06-17,DKI3 (Jagakarsa),55,13,48,78,18,78,O3,SEDANG
2015-06-18,DKI3 (Jagakarsa),41,13,28,80,9,80,O3,SEDANG
2015-06-19,DKI3 (Jagakarsa),23,12,30,87,7,87,O3,SEDANG
2015-06-20,DKI3 (Jagakarsa),53,12,34,72,14,72,O3,SEDANG
2015-06-21,DKI3 (Jagakarsa),35,13,28,88,8,88,O3,SEDANG
2015-06-22,DKI3 (Jagakarsa),21,12,22,97,5,97,O3,SEDANG
2015-06-23,DKI3 (Jagakarsa),39,13,29,79,16,79,O3,SEDANG
2015-06-24,DKI3 (Jagakarsa),43,13,29,94,15,94,O3,SEDANG
2015-06-25,DKI3 (Jagakarsa),33,14,38,72,18,72,O3,SEDANG
2015-06-26,DKI3 (Jagakarsa),45,13,31,67,8,67,O3,SEDANG
2015-06-27,DKI3 (Jagakarsa),33,13,34,61,11,61,O3,SEDANG
2015-06-28,DKI3 (Jagakarsa),27,13,24,80,8,80,O3,SEDANG
2015-06-29,DKI3 (Jagakarsa),27,13,30,74,9,74,O3,SEDANG
2015-06-30,DKI3 (Jagakarsa),28,17,33,101,12,101,O3,TIDAK SEHAT
2015-06-01,DKI4 (Lubang Buaya),---,20,---,---,10,20,SO2,BAIK
2015-06-02,DKI4 (Lubang Buaya),89,20,---,42,11,89,PM10,SEDANG
