tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2015-07-01,DKI1 (Bunderan HI),75,32,25,57,24,75,PM10,SEDANG
2015-07-02,DKI1 (Bunderan HI),80,34,21,47,21,80,PM10,SEDANG
2015-07-03,DKI1 (Bunderan HI),74,35,23,76,19,76,O3,SEDANG
2015-07-04,DKI1 (Bunderan HI),77,40,22,71,22,77,PM10,SEDANG
2015-07-05,DKI1 (Bunderan HI),94,35,47,67,20,94,PM10,SEDANG
2015-07-06,DKI1 (Bunderan HI),73,34,25,62,21,73,PM10,SEDANG
2015-07-07,DKI1 (Bunderan HI),69,37,27,59,27,69,PM10,SEDANG
2015-07-08,DKI1 (Bunderan HI),68,33,26,66,21,68,PM10,SEDANG
2015-07-09,DKI1 (Bunderan HI),61,32,21,74,22,74,O3,SEDANG
2015-07-10,DKI1 (Bunderan HI),62,35,18,56,27,62,PM10,SEDANG
2015-07-11,DKI1 (Bunderan HI),65,34,22,41,15,65,PM10,SEDANG
2015-07-12,DKI1 (Bunderan HI),59,29,17,35,13,59,PM10,SEDANG
2015-07-13,DKI1 (Bunderan HI),56,31,17,---,10,56,PM10,SEDANG
2015-07-14,DKI1 (Bunderan HI),56,32,17,32,12,56,PM10,SEDANG
2015-07-15,DKI1 (Bunderan HI),54,32,16,34,12,54,PM10,SEDANG
2015-07-16,DKI1 (Bunderan HI),51,31,14,29,9,51,PM10,SEDANG
2015-07-17,DKI1 (Bunderan HI),53,31,20,42,8,53,PM10,SEDANG
2015-07-18,DKI1 (Bunderan HI),51,30,9,41,8,51,PM10,SEDANG
2015-07-19,DKI1 (Bunderan HI),51,29,8,39,8,51,PM10,SEDANG
2015-07-20,DKI1 (Bunderan HI),49,30,9,40,8,49,PM10,BAIK
2015-07-21,DKI1 (Bunderan HI),52,30,9,40,9,52,PM10,SEDANG
2015-07-22,DKI1 (Bunderan HI),54,27,17,---,10,54,PM10,SEDANG
2015-07-23,DKI1 (Bunderan HI),58,28,16,---,11,58,PM10,SEDANG
2015-07-24,DKI1 (Bunderan HI),55,29,14,---,9,55,PM10,SEDANG
2015-07-25,DKI1 (Bunderan HI),60,32,15,46,12,60,PM10,SEDANG
2015-07-26,DKI1 (Bunderan HI),66,27,13,61,11,66,PM10,SEDANG
2015-07-27,DKI1 (Bunderan HI),61,27,22,44,17,61,PM10,SEDANG
2015-07-28,DKI1 (Bunderan HI),55,34,21,40,16,55,PM10,SEDANG
2015-07-29,DKI1 (Bunderan HI),64,33,22,41,17,64,PM10,SEDANG
2015-07-30,DKI1 (Bunderan HI),64,33,22,54,15,64,PM10,SEDANG
2015-07-31,DKI1 (Bunderan HI),60,32,21,52,22,60,PM10,SEDANG
2015-07-01,DKI2 (Kelapa Gading),68,21,29,81,15,81,O3,SEDANG
2015-07-02,DKI2 (Kelapa Gading),68,16,37,72,17,72,O3,SEDANG
2015-07-03,DKI2 (Kelapa Gading),63,14,31,83,18,83,O3,SEDANG
2015-07-04,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2015-07-05,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2015-07-06,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2015-07-07,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2015-07-08,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2015-07-09,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2015-07-10,DKI2 (Kelapa Gading),54,13,27,79,12,79,O3,SEDANG
2015-07-11,DKI2 (Kelapa Gading),57,47,26,43,12,57,PM10,SEDANG
2015-07-12,DKI2 (Kelapa Gading),51,15,23,43,12,51,PM10,SEDANG
2015-07-13,DKI2 (Kelapa Gading),38,15,23,33,9,38,PM10,BAIK
2015-07-14,DKI2 (Kelapa Gading),48,33,25,35,12,48,PM10,BAIK
2015-07-15,DKI2 (Kelapa Gading),42,24,24,30,9,42,PM10,BAIK
2015-07-16,DKI2 (Kelapa Gading),33,10,21,33,7,33,PM10,BAIK
2015-07-17,DKI2 (Kelapa Gading),38,10,23,34,7,38,PM10,BAIK
2015-07-18,DKI2 (Kelapa Gading),40,23,22,37,8,40,PM10,BAIK
2015-07-19,DKI2 (Kelapa Gading),38,9,21,37,6,38,PM10,BAIK
2015-07-20,DKI2 (Kelapa Gading),37,23,22,34,9,37,PM10,BAIK
2015-07-21,DKI2 (Kelapa Gading),38,10,22,34,7,38,PM10,BAIK
2015-07-22,DKI2 (Kelapa Gading),43,10,22,40,6,43,PM10,BAIK
2015-07-23,DKI2 (Kelapa Gading),48,9,24,43,11,48,PM10,BAIK
2015-07-24,DKI2 (Kelapa Gading),49,12,23,42,10,49,PM10,BAIK
2015-07-25,DKI2 (Kelapa Gading),54,22,24,44,9,54,PM10,SEDANG
2015-07-26,DKI2 (Kelapa Gading),57,11,25,57,9,57,PM10,SEDANG
2015-07-27,DKI2 (Kelapa Gading),53,10,26,45,14,53,PM10,SEDANG
2015-07-28,DKI2 (Kelapa Gading),50,15,26,38,12,50,PM10,BAIK
2015-07-29,DKI2 (Kelapa Gading),55,13,26,38,13,55,PM10,SEDANG
2015-07-30,DKI2 (Kelapa Gading),55,19,28,46,13,55,PM10,SEDANG
2015-07-31,DKI2 (Kelapa Gading),59,29,27,58,15,59,PM10,SEDANG
2015-07-01,DKI3 (Jagakarsa),50,13,30,65,7,65,O3,SEDANG
2015-07-02,DKI3 (Jagakarsa),31,13,23,75,6,75,O3,SEDANG
2015-07-03,DKI3 (Jagakarsa),20,14,24,87,12,87,O3,SEDANG
2015-07-04,DKI3 (Jagakarsa),21,14,22,94,8,94,O3,SEDANG
2015-07-05,DKI3 (Jagakarsa),31,14,52,79,15,79,O3,SEDANG
2015-07-06,DKI3 (Jagakarsa),26,15,23,95,11,95,O3,SEDANG
2015-07-07,DKI3 (Jagakarsa),26,15,21,123,20,123,O3,TIDAK SEHAT
2015-07-08,DKI3 (Jagakarsa),17,14,23,109,12,109,O3,TIDAK SEHAT
2015-07-09,DKI3 (Jagakarsa),14,13,20,95,8,95,O3,SEDANG
2015-07-10,DKI3 (Jagakarsa),23,14,21,86,8,86,O3,SEDANG
2015-07-11,DKI3 (Jagakarsa),20,14,22,77,9,77,O3,SEDANG
2015-07-12,DKI3 (Jagakarsa),20,15,21,64,7,64,O3,SEDANG
2015-07-13,DKI3 (Jagakarsa),17,15,20,54,6,54,O3,SEDANG
2015-07-14,DKI3 (Jagakarsa),19,14,21,53,6,53,O3,SEDANG
2015-07-15,DKI3 (Jagakarsa),15,14,25,39,6,39,O3,BAIK
2015-07-16,DKI3 (Jagakarsa),16,14,19,45,5,45,O3,BAIK
2015-07-17,DKI3 (Jagakarsa),21,14,31,44,7,44,O3,BAIK
2015-07-18,DKI3 (Jagakarsa),17,13,18,58,5,58,O3,SEDANG
2015-07-19,DKI3 (Jagakarsa),15,13,21,56,5,56,O3,SEDANG
2015-07-20,DKI3 (Jagakarsa),16,13,19,61,4,61,O3,SEDANG
2015-07-21,DKI3 (Jagakarsa),12,14,18,64,4,64,O3,SEDANG
2015-07-22,DKI3 (Jagakarsa),9,14,21,61,6,61,O3,SEDANG
2015-07-23,DKI3 (Jagakarsa),19,14,30,56,6,56,O3,SEDANG
2015-07-24,DKI3 (Jagakarsa),15,14,20,53,7,53,O3,SEDANG
2015-07-25,DKI3 (Jagakarsa),12,14,23,79,6,79,O3,SEDANG
2015-07-26,DKI3 (Jagakarsa),16,13,27,80,8,80,O3,SEDANG
2015-07-27,DKI3 (Jagakarsa),19,13,26,82,10,82,O3,SEDANG
2015-07-28,DKI3 (Jagakarsa),18,14,26,66,8,66,O3,SEDANG
2015-07-29,DKI3 (Jagakarsa),17,15,23,54,10,54,O3,SEDANG
2015-07-30,DKI3 (Jagakarsa),30,14,26,73,8,73,O3,SEDANG
2015-07-31,DKI3 (Jagakarsa),13,14,23,82,6,82,O3,SEDANG
2015-07-01,DKI4 (Lubang Buaya),83,27,7,86,14,86,O3,SEDANG
2015-07-02,DKI4 (Lubang Buaya),86,28,10,93,15,93,O3,SEDANG
2015-07-03,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2015-07-04,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2015-07-05,DKI4 (Lubang Buaya),110,30,15,50,16,110,PM10,TIDAK SEHAT
2015-07-06,DKI4 (Lubang Buaya),84,---,---,---,---,84,PM10,SEDANG
2015-07-07,DKI4 (Lubang Buaya),83,---,---,---,---,83,PM10,SEDANG
2015-07-08,DKI4 (Lubang Buaya),81,26,8,89,11,89,O3,SEDANG
2015-07-09,DKI4 (Lubang Buaya),81,29,8,83,16,83,O3,SEDANG
2015-07-10,DKI4 (Lubang Buaya),73,29,6,66,16,73,PM10,SEDANG
2015-07-11,DKI4 (Lubang Buaya),65,26,7,41,10,65,PM10,SEDANG
2015-07-12,DKI4 (Lubang Buaya),63,26,5,44,9,63,PM10,SEDANG
2015-07-13,DKI4 (Lubang Buaya),58,26,5,38,6,58,PM10,SEDANG
2015-07-14,DKI4 (Lubang Buaya),70,26,6,31,7,70,PM10,SEDANG
2015-07-15,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2015-07-16,DKI4 (Lubang Buaya),55,26,4,41,7,55,PM10,SEDANG
2015-07-17,DKI4 (Lubang Buaya),56,26,5,---,8,56,PM10,SEDANG
2015-07-18,DKI4 (Lubang Buaya),52,24,5,---,6,52,PM10,SEDANG
2015-07-19,DKI4 (Lubang Buaya),54,26,5,50,6,54,PM10,SEDANG
2015-07-20,DKI4 (Lubang Buaya),55,26,5,---,7,55,PM10,SEDANG
2015-07-21,DKI4 (Lubang Buaya),72,25,5,---,5,72,PM10,SEDANG
2015-07-22,DKI4 (Lubang Buaya),62,26,5,---,7,62,PM10,SEDANG
2015-07-23,DKI4 (Lubang Buaya),63,26,5,---,5,63,PM10,SEDANG
2015-07-24,DKI4 (Lubang Buaya),59,26,4,---,6,59,PM10,SEDANG
2015-07-25,DKI4 (Lubang Buaya),66,26,6,---,8,66,PM10,SEDANG
2015-07-26,DKI4 (Lubang Buaya),110,28,8,---,30,110,PM10,TIDAK SEHAT
2015-07-27,DKI4 (Lubang Buaya),69,26,7,---,10,69,PM10,SEDANG
2015-07-28,DKI4 (Lubang Buaya),65,27,6,---,8,65,PM10,SEDANG
2015-07-29,DKI4 (Lubang Buaya),71,29,6,---,9,71,PM10,SEDANG
2015-07-30,DKI4 (Lubang Buaya),80,28,7,---,12,80,PM10,SEDANG
2015-07-31,DKI4 (Lubang Buaya),79,26,8,59,10,79,PM10,SEDANG
2015-07-01,DKI5 (Kebon Jeruk),71,12,16,74,10,74,O3,SEDANG
2015-07-02,DKI5 (Kebon Jeruk),72,12,17,67,11,72,PM10,SEDANG
2015-07-03,DKI5 (Kebon Jeruk),75,11,19,99,11,99,O3,SEDANG
2015-07-04,DKI5 (Kebon Jeruk),76,13,19,77,11,77,O3,SEDANG
2015-07-05,DKI5 (Kebon Jeruk),114,12,46,87,16,114,PM10,TIDAK SEHAT
2015-07-06,DKI5 (Kebon Jeruk),77,12,22,84,12,84,O3,SEDANG
2015-07-07,DKI5 (Kebon Jeruk),76,14,19,91,13,91,O3,SEDANG
2015-07-08,DKI5 (Kebon Jeruk),77,11,19,76,11,77,PM10,SEDANG
2015-07-09,DKI5 (Kebon Jeruk),70,11,14,72,9,72,O3,SEDANG
2015-07-10,DKI5 (Kebon Jeruk),71,12,17,73,10,73,O3,SEDANG
2015-07-11,DKI5 (Kebon Jeruk),70,12,16,51,13,70,PM10,SEDANG
2015-07-12,DKI5 (Kebon Jeruk),59,12,13,35,10,59,PM10,SEDANG
2015-07-13,DKI5 (Kebon Jeruk),60,14,11,29,11,60,PM10,SEDANG
2015-07-14,DKI5 (Kebon Jeruk),61,11,13,27,9,61,PM10,SEDANG
2015-07-15,DKI5 (Kebon Jeruk),60,11,14,27,8,60,PM10,SEDANG
2015-07-16,DKI5 (Kebon Jeruk),45,13,11,30,7,45,PM10,BAIK
2015-07-17,DKI5 (Kebon Jeruk),55,12,13,38,6,55,PM10,SEDANG
2015-07-18,DKI5 (Kebon Jeruk),49,11,10,37,6,49,PM10,BAIK
2015-07-19,DKI5 (Kebon Jeruk),45,11,8,36,7,45,PM10,BAIK
2015-07-20,DKI5 (Kebon Jeruk),52,10,10,40,7,52,PM10,SEDANG
