tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2017-10-01,DKI1 (Bunderan HI),52,17,20,53,4,53,O3,SEDANG
2017-10-02,DKI1 (Bunderan HI),48,17,26,47,4,48,PM10,BAIK
2017-10-03,DKI1 (Bunderan HI),50,17,22,65,7,65,O3,SEDANG
2017-10-04,DKI1 (Bunderan HI),53,17,20,62,6,62,O3,SEDANG
2017-10-05,DKI1 (Bunderan HI),60,18,21,49,5,60,PM10,SEDANG
2017-10-06,DKI1 (Bunderan HI),48,20,16,36,4,48,PM10,BAIK
2017-10-07,DKI1 (Bunderan HI),52,17,20,82,4,82,O3,SEDANG
2017-10-08,DKI1 (Bunderan HI),39,18,19,41,4,41,O3,BAIK
2017-10-09,DKI1 (Bunderan HI),53,17,19,68,5,68,O3,SEDANG
2017-10-10,DKI1 (Bunderan HI),71,17,30,55,6,71,PM10,SEDANG
2017-10-11,DKI1 (Bunderan HI),54,19,20,77,5,77,O3,SEDANG
2017-10-12,DKI1 (Bunderan HI),46,17,23,89,6,89,O3,SEDANG
2017-10-13,DKI1 (Bunderan HI),58,18,29,125,7,125,O3,TIDAK SEHAT
2017-10-14,DKI1 (Bunderan HI),36,18,19,107,5,107,O3,TIDAK SEHAT
2017-10-15,DKI1 (Bunderan HI),29,19,15,95,4,95,O3,SEDANG
2017-10-16,DKI1 (Bunderan HI),36,20,18,55,4,55,O3,SEDANG
2017-10-17,DKI1 (Bunderan HI),50,18,22,120,6,120,O3,TIDAK SEHAT
2017-10-18,DKI1 (Bunderan HI),36,20,21,115,6,115,O3,TIDAK SEHAT
2017-10-19,DKI1 (Bunderan HI),51,17,23,44,5,51,PM10,SEDANG
2017-10-20,DKI1 (Bunderan HI),51,17,24,96,6,96,O3,SEDANG
2017-10-21,DKI1 (Bunderan HI),73,18,37,76,7,76,O3,SEDANG
2017-10-22,DKI1 (Bunderan HI),49,18,21,64,3,64,O3,SEDANG
2017-10-23,DKI1 (Bunderan HI),52,19,17,74,6,74,O3,SEDANG
2017-10-24,DKI1 (Bunderan HI),53,19,25,95,5,95,O3,SEDANG
2017-10-25,DKI1 (Bunderan HI),55,20,20,79,5,79,O3,SEDANG
2017-10-26,DKI1 (Bunderan HI),53,20,19,46,4,53,PM10,SEDANG
2017-10-27,DKI1 (Bunderan HI),42,22,18,91,8,91,O3,SEDANG
2017-10-28,DKI1 (Bunderan HI),42,20,23,73,6,73,O3,SEDANG
2017-10-29,DKI1 (Bunderan HI),64,19,33,66,6,66,O3,SEDANG
2017-10-30,DKI1 (Bunderan HI),58,20,24,71,5,71,O3,SEDANG
2017-10-31,DKI1 (Bunderan HI),40,19,21,67,5,67,O3,SEDANG
2017-10-01,DKI2 (Kelapa Gading),49,42,13,81,12,81,O3,SEDANG
2017-10-02,DKI2 (Kelapa Gading),57,51,18,39,15,57,PM10,SEDANG
2017-10-03,DKI2 (Kelapa Gading),58,52,23,65,20,65,O3,SEDANG
2017-10-04,DKI2 (Kelapa Gading),53,50,12,60,22,60,O3,SEDANG
2017-10-05,DKI2 (Kelapa Gading),69,51,12,50,17,69,PM10,SEDANG
2017-10-06,DKI2 (Kelapa Gading),55,46,6,41,13,55,PM10,SEDANG
2017-10-07,DKI2 (Kelapa Gading),55,43,14,81,14,81,O3,SEDANG
2017-10-08,DKI2 (Kelapa Gading),43,44,10,56,14,56,O3,SEDANG
