tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2017-08-01,DKI1 (Bunderan HI),53,17,18,74,6,74,O3,SEDANG
2017-08-02,DKI1 (Bunderan HI),46,18,19,60,5,60,O3,SEDANG
2017-08-03,DKI1 (Bunderan HI),42,17,18,80,7,80,O3,SEDANG
2017-08-04,DKI1 (Bunderan HI),52,18,18,97,7,97,O3,SEDANG
2017-08-05,DKI1 (Bunderan HI),62,18,19,90,7,90,O3,SEDANG
2017-08-06,DKI1 (Bunderan HI),61,18,19,90,5,90,O3,SEDANG
2017-08-07,DKI1 (Bunderan HI),68,19,18,59,6,68,PM10,SEDANG
2017-08-08,DKI1 (Bunderan HI),60,21,19,85,6,85,O3,SEDANG
2017-08-09,DKI1 (Bunderan HI),56,16,23,141,6,141,O3,TIDAK SEHAT
2017-08-10,DKI1 (Bunderan HI),34,15,21,72,6,72,O3,SEDANG
2017-08-11,DKI1 (Bunderan HI),44,15,21,92,5,92,O3,SEDANG
2017-08-12,DKI1 (Bunderan HI),56,19,18,65,8,65,O3,SEDANG
2017-08-13,DKI1 (Bunderan HI),56,16,18,56,3,56,PM10,SEDANG
2017-08-14,DKI1 (Bunderan HI),58,15,25,118,5,118,O3,TIDAK SEHAT
2017-08-15,DKI1 (Bunderan HI),70,16,23,102,6,102,O3,TIDAK SEHAT
2017-08-16,DKI1 (Bunderan HI),55,18,19,92,5,92,O3,SEDANG
2017-08-17,DKI1 (Bunderan HI),39,18,18,105,5,105,O3,TIDAK SEHAT
2017-08-18,DKI1 (Bunderan HI),5,21,17,63,4,63,O3,SEDANG
2017-08-19,DKI1 (Bunderan HI),18,17,16,49,3,49,O3,BAIK
2017-08-20,DKI1 (Bunderan HI),51,16,15,83,4,83,O3,SEDANG
2017-08-21,DKI1 (Bunderan HI),52,19,18,77,5,77,O3,SEDANG
2017-08-22,DKI1 (Bunderan HI),57,19,19,112,6,112,O3,TIDAK SEHAT
2017-08-23,DKI1 (Bunderan HI),71,19,21,59,5,71,PM10,SEDANG
2017-08-24,DKI1 (Bunderan HI),52,19,18,63,4,63,O3,SEDANG
2017-08-25,DKI1 (Bunderan HI),53,19,16,66,4,66,O3,SEDANG
2017-08-26,DKI1 (Bunderan HI),53,25,19,58,4,58,O3,SEDANG
2017-08-27,DKI1 (Bunderan HI),62,20,18,51,6,62,PM10,SEDANG
2017-08-28,DKI1 (Bunderan HI),56,18,16,49,5,56,PM10,SEDANG
2017-08-29,DKI1 (Bunderan HI),61,24,21,138,6,138,O3,TIDAK SEHAT
2017-08-30,DKI1 (Bunderan HI),56,18,20,48,5,56,PM10,SEDANG
2017-08-31,DKI1 (Bunderan HI),51,18,16,64,5,64,O3,SEDANG
2017-08-01,DKI2 (Kelapa Gading),57,33,9,76,16,76,O3,SEDANG
2017-08-02,DKI2 (Kelapa Gading),58,37,10,60,15,60,O3,SEDANG
2017-08-03,DKI2 (Kelapa Gading),47,32,8,86,11,86,O3,SEDANG
2017-08-04,DKI2 (Kelapa Gading),54,35,9,66,14,66,O3,SEDANG
2017-08-05,DKI2 (Kelapa Gading),62,39,12,88,15,88,O3,SEDANG
2017-08-06,DKI2 (Kelapa Gading),67,39,10,84,13,84,O3,SEDANG
2017-08-07,DKI2 (Kelapa Gading),71,34,9,60,15,71,PM10,SEDANG
2017-08-08,DKI2 (Kelapa Gading),74,40,8,74,14,74,PM10,SEDANG
2017-08-09,DKI2 (Kelapa Gading),68,34,19,153,17,153,O3,TIDAK SEHAT
2017-08-10,DKI2 (Kelapa Gading),58,34,10,96,18,96,O3,SEDANG
2017-08-11,DKI2 (Kelapa Gading),61,33,12,86,14,86,O3,SEDANG
2017-08-12,DKI2 (Kelapa Gading),58,34,6,87,13,87,O3,SEDANG
2017-08-13,DKI2 (Kelapa Gading),60,34,9,67,9,67,O3,SEDANG
2017-08-14,DKI2 (Kelapa Gading),66,34,15,112,18,112,O3,TIDAK SEHAT
2017-08-15,DKI2 (Kelapa Gading),88,46,20,100,23,100,O3,SEDANG
2017-08-16,DKI2 (Kelapa Gading),63,37,10,76,16,76,O3,SEDANG
2017-08-17,DKI2 (Kelapa Gading),64,38,11,101,15,101,O3,TIDAK SEHAT
2017-08-18,DKI2 (Kelapa Gading),65,39,6,58,10,65,PM10,SEDANG
2017-08-19,DKI2 (Kelapa Gading),59,36,6,57,11,59,PM10,SEDANG
2017-08-20,DKI2 (Kelapa Gading),50,33,7,69,6,69,O3,SEDANG
2017-08-21,DKI2 (Kelapa Gading),---,43,---,---,---,43,SO2,BAIK
2017-08-22,DKI2 (Kelapa Gading),---,45,---,---,---,45,SO2,BAIK
2017-08-23,DKI2 (Kelapa Gading),---,47,---,---,---,47,SO2,BAIK
2017-08-24,DKI2 (Kelapa Gading),60,37,13,57,---,60,PM10,SEDANG
2017-08-25,DKI2 (Kelapa Gading),70,43,---,---,---,70,PM10,SEDANG
2017-08-26,DKI2 (Kelapa Gading),62,38,7,61,---,62,PM10,SEDANG
2017-08-27,DKI2 (Kelapa Gading),64,47,11,52,---,64,PM10,SEDANG
2017-08-28,DKI2 (Kelapa Gading),64,42,10,44,---,64,PM10,SEDANG
2017-08-29,DKI2 (Kelapa Gading),70,51,11,91,---,91,O3,SEDANG
2017-08-30,DKI2 (Kelapa Gading),54,38,8,45,---,54,PM10,SEDANG
2017-08-31,DKI2 (Kelapa Gading),58,39,8,81,---,81,O3,SEDANG
2017-08-01,DKI3 (Jagakarsa),45,12,3,75,6,75,O3,SEDANG
2017-08-02,DKI3 (Jagakarsa),49,12,4,94,6,94,O3,SEDANG
2017-08-03,DKI3 (Jagakarsa),50,13,3,79,8,79,O3,SEDANG
2017-08-04,DKI3 (Jagakarsa),55,12,3,104,6,104,O3,TIDAK SEHAT
2017-08-05,DKI3 (Jagakarsa),69,12,5,94,14,94,O3,SEDANG
2017-08-06,DKI3 (Jagakarsa),66,12,2,116,9,116,O3,TIDAK SEHAT
2017-08-07,DKI3 (Jagakarsa),84,12,3,94,9,94,O3,SEDANG
2017-08-08,DKI3 (Jagakarsa),69,13,---,133,9,133,O3,TIDAK SEHAT
2017-08-09,DKI3 (Jagakarsa),59,12,---,88,6,88,O3,SEDANG
2017-08-10,DKI3 (Jagakarsa),49,12,7,107,10,107,O3,TIDAK SEHAT
2017-08-11,DKI3 (Jagakarsa),57,12,23,128,11,128,O3,TIDAK SEHAT
2017-08-12,DKI3 (Jagakarsa),72,13,27,97,14,97,O3,SEDANG
2017-08-13,DKI3 (Jagakarsa),62,12,14,101,5,101,O3,TIDAK SEHAT
2017-08-14,DKI3 (Jagakarsa),68,12,17,104,5,104,O3,TIDAK SEHAT
2017-08-15,DKI3 (Jagakarsa),68,12,21,120,11,120,O3,TIDAK SEHAT
2017-08-16,DKI3 (Jagakarsa),59,13,15,134,10,134,O3,TIDAK SEHAT
2017-08-17,DKI3 (Jagakarsa),53,13,12,125,11,125,O3,TIDAK SEHAT
2017-08-18,DKI3 (Jagakarsa),61,13,12,129,6,129,O3,TIDAK SEHAT
2017-08-19,DKI3 (Jagakarsa),56,13,10,81,4,81,O3,SEDANG
2017-08-20,DKI3 (Jagakarsa),53,13,10,79,4,79,O3,SEDANG
2017-08-21,DKI3 (Jagakarsa),58,13,12,90,5,90,O3,SEDANG
2017-08-22,DKI3 (Jagakarsa),62,13,20,137,10,137,O3,TIDAK SEHAT
2017-08-23,DKI3 (Jagakarsa),74,14,17,99,8,99,O3,SEDANG
2017-08-24,DKI3 (Jagakarsa),57,13,10,71,5,71,O3,SEDANG
2017-08-25,DKI3 (Jagakarsa),51,13,10,81,5,81,O3,SEDANG
2017-08-26,DKI3 (Jagakarsa),63,14,15,71,8,71,O3,SEDANG
2017-08-27,DKI3 (Jagakarsa),62,14,12,64,7,64,O3,SEDANG
2017-08-28,DKI3 (Jagakarsa),60,13,14,55,6,60,PM10,SEDANG
2017-08-29,DKI3 (Jagakarsa),59,13,14,154,5,154,O3,TIDAK SEHAT
2017-08-30,DKI3 (Jagakarsa),52,13,13,85,12,85,O3,SEDANG
2017-08-31,DKI3 (Jagakarsa),58,14,14,82,5,82,O3,SEDANG
2017-08-01,DKI4 (Lubang Buaya),64,51,12,---,4,64,PM10,SEDANG
2017-08-02,DKI4 (Lubang Buaya),56,51,12,58,5,58,O3,SEDANG
2017-08-03,DKI4 (Lubang Buaya),54,51,10,65,4,65,O3,SEDANG
2017-08-04,DKI4 (Lubang Buaya),64,51,11,93,5,93,O3,SEDANG
2017-08-05,DKI4 (Lubang Buaya),79,51,19,79,4,79,PM10,SEDANG
2017-08-06,DKI4 (Lubang Buaya),81,51,19,80,4,81,PM10,SEDANG
2017-08-07,DKI4 (Lubang Buaya),85,50,20,56,3,85,PM10,SEDANG
2017-08-08,DKI4 (Lubang Buaya),---,51,19,83,6,83,O3,SEDANG
2017-08-09,DKI4 (Lubang Buaya),---,51,24,109,7,109,O3,TIDAK SEHAT
2017-08-10,DKI4 (Lubang Buaya),54,50,14,85,9,85,O3,SEDANG
2017-08-11,DKI4 (Lubang Buaya),59,50,33,83,7,83,O3,SEDANG
2017-08-12,DKI4 (Lubang Buaya),68,51,18,70,4,70,O3,SEDANG
2017-08-13,DKI4 (Lubang Buaya),69,51,15,62,1,69,PM10,SEDANG
2017-08-14,DKI4 (Lubang Buaya),80,51,21,94,5,94,O3,SEDANG
2017-08-15,DKI4 (Lubang Buaya),87,50,23,66,---,87,PM10,SEDANG
2017-08-16,DKI4 (Lubang Buaya),66,51,19,---,3,66,PM10,SEDANG
2017-08-17,DKI4 (Lubang Buaya),72,51,16,86,3,86,O3,SEDANG
2017-08-18,DKI4 (Lubang Buaya),73,51,13,62,3,73,PM10,SEDANG
2017-08-19,DKI4 (Lubang Buaya),60,51,8,56,2,60,PM10,SEDANG
2017-08-20,DKI4 (Lubang Buaya),58,50,9,62,---,62,O3,SEDANG
2017-08-21,DKI4 (Lubang Buaya),86,51,15,64,---,86,PM10,SEDANG
2017-08-22,DKI4 (Lubang Buaya),92,51,25,91,---,92,PM10,SEDANG
2017-08-23,DKI4 (Lubang Buaya),101,52,19,51,---,101,PM10,TIDAK SEHAT
2017-08-24,DKI4 (Lubang Buaya),61,51,10,50,---,61,PM10,SEDANG
2017-08-25,DKI4 (Lubang Buaya),64,51,9,52,---,64,PM10,SEDANG
2017-08-26,DKI4 (Lubang Buaya),71,52,12,48,---,71,PM10,SEDANG
2017-08-27,DKI4 (Lubang Buaya),77,51,17,41,---,77,PM10,SEDANG
2017-08-28,DKI4 (Lubang Buaya),66,51,12,39,---,66,PM10,SEDANG
2017-08-29,DKI4 (Lubang Buaya),77,52,14,103,---,103,O3,TIDAK SEHAT
2017-08-30,DKI4 (Lubang Buaya),62,51,13,45,---,62,PM10,SEDANG
2017-08-31,DKI4 (Lubang Buaya),74,51,13,68,8,74,PM10,SEDANG
2017-08-01,DKI5 (Kebon Jeruk),52,18,34,71,18,71,O3,SEDANG
2017-08-02,DKI5 (Kebon Jeruk),34,19,35,57,---,57,O3,SEDANG
2017-08-03,DKI5 (Kebon Jeruk),36,19,33,107,---,107,O3,TIDAK SEHAT
2017-08-04,DKI5 (Kebon Jeruk),52,20,35,85,---,85,O3,SEDANG
2017-08-05,DKI5 (Kebon Jeruk),62,21,37,69,10,69,O3,SEDANG
2017-08-06,DKI5 (Kebon Jeruk),61,20,39,60,8,61,PM10,SEDANG
2017-08-07,DKI5 (Kebon Jeruk),72,22,40,49,11,72,PM10,SEDANG
2017-08-08,DKI5 (Kebon Jeruk),59,22,38,89,15,89,O3,SEDANG
2017-08-09,DKI5 (Kebon Jeruk),63,18,39,97,9,97,O3,SEDANG
2017-08-10,DKI5 (Kebon Jeruk),49,17,32,73,9,73,O3,SEDANG
2017-08-11,DKI5 (Kebon Jeruk),59,18,31,81,9,81,O3,SEDANG
2017-08-12,DKI5 (Kebon Jeruk),61,22,33,63,9,63,O3,SEDANG
2017-08-13,DKI5 (Kebon Jeruk),59,18,28,45,7,59,PM10,SEDANG
2017-08-14,DKI5 (Kebon Jeruk),68,17,35,112,10,112,O3,TIDAK SEHAT
2017-08-15,DKI5 (Kebon Jeruk),69,19,38,108,9,108,O3,TIDAK SEHAT
2017-08-16,DKI5 (Kebon Jeruk),57,20,34,87,6,87,O3,SEDANG
2017-08-17,DKI5 (Kebon Jeruk),47,20,35,98,7,98,O3,SEDANG
2017-08-18,DKI5 (Kebon Jeruk),54,23,34,86,7,86,O3,SEDANG
2017-08-19,DKI5 (Kebon Jeruk),53,20,31,59,4,59,O3,SEDANG
2017-08-20,DKI5 (Kebon Jeruk),47,18,30,88,4,88,O3,SEDANG
2017-08-21,DKI5 (Kebon Jeruk),54,22,32,76,8,76,O3,SEDANG
2017-08-22,DKI5 (Kebon Jeruk),61,21,42,102,9,102,O3,TIDAK SEHAT
2017-08-23,DKI5 (Kebon Jeruk),75,22,42,98,10,98,O3,SEDANG
2017-08-24,DKI5 (Kebon Jeruk),61,19,37,60,9,61,PM10,SEDANG
2017-08-25,DKI5 (Kebon Jeruk),47,19,31,61,4,61,O3,SEDANG
2017-08-26,DKI5 (Kebon Jeruk),57,25,37,50,9,57,PM10,SEDANG
2017-08-27,DKI5 (Kebon Jeruk),58,21,37,42,6,58,PM10,SEDANG
2017-08-28,DKI5 (Kebon Jeruk),59,20,35,41,7,59,PM10,SEDANG
2017-08-29,DKI5 (Kebon Jeruk),59,22,36,131,8,131,O3,TIDAK SEHAT
2017-08-30,DKI5 (Kebon Jeruk),57,19,34,60,16,60,O3,SEDANG
