tanggal,stasiun,pm25(ug/m3),pm25,pm10(ug/m3),pm10,so2(ug/m3),so2,co(ug/m3),co,o3(ug/m3),o3,no2(ug/m3),no2,max,critical,categori
2010-01-01,DKI1 (Bunderan HI),---,---,70,60,4,4,5840,73,65,27,22,14,73,CO,SEDANG
2010-01-02,DKI1 (Bunderan HI),---,---,32,32,2,2,1280,16,79,33,14,9,33,O3,BAIK
2010-01-03,DKI1 (Bunderan HI),---,---,27,27,2,2,1520,19,48,20,14,9,27,PM10,BAIK
2010-01-04,DKI1 (Bunderan HI),---,---,22,22,2,2,1280,16,36,15,10,6,22,PM10,BAIK
2010-01-05,DKI1 (Bunderan HI),---,---,25,25,2,2,1360,17,36,15,13,8,25,PM10,BAIK
2010-01-06,DKI1 (Bunderan HI),---,---,30,30,3,3,1760,22,46,19,18,11,30,PM10,BAIK
2010-01-07,DKI1 (Bunderan HI),---,---,41,41,4,4,1920,24,65,27,21,13,41,PM10,BAIK
2010-01-08,DKI1 (Bunderan HI),---,---,78,64,8,8,4080,51,46,19,24,15,64,PM10,SEDANG
2010-01-09,DKI1 (Bunderan HI),---,---,60,55,5,5,3120,39,55,23,26,16,55,PM10,SEDANG
2010-01-10,DKI1 (Bunderan HI),---,---,34,34,5,5,1840,23,62,26,19,12,34,PM10,BAIK
2010-01-11,DKI1 (Bunderan HI),---,---,60,55,10,10,2560,32,55,23,26,16,55,PM10,SEDANG
2010-01-12,DKI1 (Bunderan HI),---,---,45,45,4,4,2640,33,22,9,27,17,45,PM10,BAIK
2010-01-13,DKI1 (Bunderan HI),---,---,28,28,5,5,2320,29,24,10,19,12,29,CO,BAIK
2010-01-14,DKI1 (Bunderan HI),---,---,38,38,6,6,2240,28,36,15,16,10,38,PM10,BAIK
2010-01-15,DKI1 (Bunderan HI),---,---,35,35,5,5,2640,33,41,17,27,17,35,PM10,BAIK
2010-01-16,DKI1 (Bunderan HI),---,---,58,54,5,5,3040,38,41,17,29,18,54,PM10,SEDANG
2010-01-17,DKI1 (Bunderan HI),---,---,44,44,4,4,2240,28,53,22,22,14,44,PM10,BAIK
2010-01-18,DKI1 (Bunderan HI),---,---,38,38,4,4,2320,29,58,24,24,15,38,PM10,BAIK
2010-01-19,DKI1 (Bunderan HI),---,---,40,40,3,3,3440,43,55,23,37,23,43,CO,BAIK
2010-01-20,DKI1 (Bunderan HI),---,---,72,61,5,5,5040,63,38,16,27,17,63,CO,SEDANG
2010-01-21,DKI1 (Bunderan HI),---,---,36,36,4,4,2160,27,55,23,21,13,36,PM10,BAIK
2010-01-22,DKI1 (Bunderan HI),---,---,52,51,4,4,3600,45,34,14,21,13,51,PM10,SEDANG
2010-01-23,DKI1 (Bunderan HI),---,---,35,35,3,3,2400,30,48,20,22,14,35,PM10,BAIK
2010-01-24,DKI1 (Bunderan HI),---,---,62,56,6,6,3680,46,72,30,22,14,56,PM10,SEDANG
2010-01-25,DKI1 (Bunderan HI),---,---,68,59,4,4,3040,38,43,18,24,15,59,PM10,SEDANG
2010-01-26,DKI1 (Bunderan HI),---,---,43,43,5,5,3360,42,46,19,38,24,43,PM10,BAIK
2010-01-27,DKI1 (Bunderan HI),---,---,58,54,8,8,3040,38,96,40,26,16,54,PM10,SEDANG
2010-01-28,DKI1 (Bunderan HI),---,---,94,72,8,8,4400,55,48,20,27,17,72,PM10,SEDANG
2010-01-29,DKI1 (Bunderan HI),---,---,52,51,8,8,1920,24,46,19,18,11,51,PM10,SEDANG
2010-01-30,DKI1 (Bunderan HI),---,---,47,47,8,8,2560,32,46,19,19,12,47,PM10,BAIK
2010-01-31,DKI1 (Bunderan HI),---,---,32,32,5,5,2000,25,62,26,16,10,32,PM10,BAIK
2010-02-01,DKI1 (Bunderan HI),---,---,41,41,7,7,2400,30,41,17,21,13,41,PM10,BAIK
2010-02-02,DKI1 (Bunderan HI),---,---,50,50,4,4,2400,30,55,23,19,12,50,PM10,BAIK
2010-02-03,DKI1 (Bunderan HI),---,---,49,49,7,7,2640,33,136,57,37,23,57,O3,SEDANG
2010-02-04,DKI1 (Bunderan HI),---,---,68,59,9,9,3040,38,178,75,42,26,75,O3,SEDANG
2010-02-05,DKI1 (Bunderan HI),---,---,76,63,7,7,3120,39,98,41,37,23,63,PM10,SEDANG
2010-02-06,DKI1 (Bunderan HI),---,---,80,65,8,8,4720,59,58,24,24,15,65,PM10,SEDANG
2010-02-07,DKI1 (Bunderan HI),---,---,70,60,10,10,3600,45,113,47,27,17,60,PM10,SEDANG
2010-02-08,DKI1 (Bunderan HI),---,---,46,46,5,5,2480,31,101,42,27,17,46,PM10,BAIK
2010-02-09,DKI1 (Bunderan HI),---,---,54,52,7,7,2400,30,82,34,26,16,52,PM10,SEDANG
2010-02-10,DKI1 (Bunderan HI),---,---,50,50,8,8,2480,31,94,39,22,14,50,PM10,BAIK
2010-02-11,DKI1 (Bunderan HI),---,---,47,47,5,5,2160,27,62,26,22,14,47,PM10,BAIK
2010-02-12,DKI1 (Bunderan HI),---,---,62,56,6,6,2640,33,108,45,32,20,56,PM10,SEDANG
2010-02-13,DKI1 (Bunderan HI),---,---,60,55,6,6,3120,39,34,14,22,14,55,PM10,SEDANG
2010-02-14,DKI1 (Bunderan HI),---,---,60,55,6,6,4880,61,38,16,21,13,61,CO,SEDANG
2010-02-15,DKI1 (Bunderan HI),---,---,40,40,4,4,2400,30,150,63,35,22,63,O3,SEDANG
2010-02-16,DKI1 (Bunderan HI),---,---,62,56,4,4,3440,43,60,25,32,20,56,PM10,SEDANG
2010-02-17,DKI1 (Bunderan HI),---,---,54,52,4,4,2720,34,72,30,27,17,52,PM10,SEDANG
2010-02-18,DKI1 (Bunderan HI),---,---,41,41,5,5,2080,26,34,14,16,10,41,PM10,BAIK
2010-02-19,DKI1 (Bunderan HI),---,---,37,37,4,4,3440,43,41,17,27,17,43,CO,BAIK
2010-02-20,DKI1 (Bunderan HI),---,---,54,52,3,3,5120,64,43,18,19,12,64,CO,SEDANG
2010-02-21,DKI1 (Bunderan HI),---,---,72,61,4,4,4240,53,86,36,24,15,61,PM10,SEDANG
2010-02-22,DKI1 (Bunderan HI),---,---,34,34,4,4,2480,31,55,23,26,16,34,PM10,BAIK
2010-02-23,DKI1 (Bunderan HI),---,---,64,57,7,7,2800,35,101,42,29,18,57,PM10,SEDANG
2010-02-24,DKI1 (Bunderan HI),---,---,68,59,4,4,3520,44,219,93,38,24,93,O3,SEDANG
2010-02-25,DKI1 (Bunderan HI),---,---,80,65,6,6,4400,55,62,26,42,26,65,PM10,SEDANG
2010-02-26,DKI1 (Bunderan HI),---,---,86,68,9,9,5360,67,159,67,35,22,68,PM10,SEDANG
2010-02-27,DKI1 (Bunderan HI),---,---,84,67,8,8,3760,47,113,47,30,19,67,PM10,SEDANG
2010-02-28,DKI1 (Bunderan HI),---,---,80,65,6,6,3040,38,189,80,37,23,80,O3,SEDANG
2010-03-01,DKI1 (Bunderan HI),---,---,70,60,5,5,3120,39,106,44,30,19,60,PM10,SEDANG
2010-03-02,DKI1 (Bunderan HI),---,---,98,74,8,8,4480,56,161,68,43,27,74,PM10,SEDANG
2010-03-03,DKI1 (Bunderan HI),---,---,58,54,12,12,2800,35,182,77,40,25,77,O3,SEDANG
2010-03-04,DKI1 (Bunderan HI),---,---,68,59,9,9,2560,32,148,62,32,20,62,O3,SEDANG
2010-03-05,DKI1 (Bunderan HI),---,---,74,62,11,11,2800,35,74,31,30,19,62,PM10,SEDANG
2010-03-06,DKI1 (Bunderan HI),---,---,94,72,10,10,4320,54,103,43,37,23,72,PM10,SEDANG
2010-03-07,DKI1 (Bunderan HI),---,---,68,59,7,7,3680,46,136,57,30,19,59,PM10,SEDANG
2010-03-08,DKI1 (Bunderan HI),---,---,62,56,7,7,2960,37,94,39,29,18,56,PM10,SEDANG
2010-03-09,DKI1 (Bunderan HI),---,---,45,45,5,5,2640,33,65,27,24,15,45,PM10,BAIK
2010-03-10,DKI1 (Bunderan HI),---,---,44,44,8,8,2960,37,98,41,30,19,44,PM10,BAIK
2010-03-11,DKI1 (Bunderan HI),---,---,52,51,6,6,2960,37,43,18,22,14,51,PM10,SEDANG
2010-03-12,DKI1 (Bunderan HI),---,---,43,43,6,6,3360,42,94,39,32,20,43,PM10,BAIK
2010-03-13,DKI1 (Bunderan HI),---,---,98,74,9,9,3680,46,152,64,26,16,74,PM10,SEDANG
