Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,42.7,119,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,25.3,79,Moderate,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,18.1,64,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,14.0,55,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,11.0,46,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,10.5,44,Good,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,10.2,43,Good,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,10.6,44,Good,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,12.3,51,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,17.1,62,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,14.0,55,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,17.0,61,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,20.5,69,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,21.2,70,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,20.6,69,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,16.8,61,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,15.9,59,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,15.9,59,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,16.4,60,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,18.2,64,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,29.6,88,Moderate,41.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,46.8,129,Unhealthy for Sensitive Groups,64.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,28.4,85,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,19.7,67,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,14.3,56,Moderate,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,13.1,53,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,14.5,56,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,13.7,54,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,16.8,61,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 06:00 AM,2020,01,02,06,19.4,66,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 07:00 AM,2020,01,02,07,22.7,73,Moderate,26.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 08:00 AM,2020,01,02,08,20.8,69,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 09:00 AM,2020,01,02,09,25.4,79,Moderate,30.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 10:00 AM,2020,01,02,10,28.7,86,Moderate,32.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 11:00 AM,2020,01,02,11,25.8,80,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 12:00 PM,2020,01,02,12,22.4,73,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 01:00 PM,2020,01,02,13,17.2,62,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2020-01-02 02:00 PM,2020,01,02,14,15.6,58,Moderate,14.0,UG/M3,1 Hr,Valid
