Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2019-01-01 01:00 AM,2019,01,01,01,22.0,72,Moderate,29.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 02:00 AM,2019,01,01,02,11.5,48,Good,1.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 03:00 AM,2019,01,01,03,10.2,43,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 04:00 AM,2019,01,01,04,7.6,32,Good,5.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 05:00 AM,2019,01,01,05,6.3,26,Good,5.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 06:00 AM,2019,01,01,06,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 07:00 AM,2019,01,01,07,7.0,29,Good,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 08:00 AM,2019,01,01,08,9.5,40,Good,12.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 09:00 AM,2019,01,01,09,9.2,38,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 10:00 AM,2019,01,01,10,8.1,34,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 11:00 AM,2019,01,01,11,9.0,38,Good,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 12:00 PM,2019,01,01,12,8.0,33,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 01:00 PM,2019,01,01,13,9.5,40,Good,11.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 02:00 PM,2019,01,01,14,7.7,32,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 03:00 PM,2019,01,01,15,7.3,30,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 04:00 PM,2019,01,01,16,7.6,32,Good,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 05:00 PM,2019,01,01,17,7.8,33,Good,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 06:00 PM,2019,01,01,18,6.9,29,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 07:00 PM,2019,01,01,19,9.4,39,Good,12.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 08:00 PM,2019,01,01,20,8.2,34,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 09:00 PM,2019,01,01,21,5.6,23,Good,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 10:00 PM,2019,01,01,22,4.3,18,Good,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-01 11:00 PM,2019,01,01,23,3.1,13,Good,2.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 12:00 AM,2019,01,02,00,2.5,10,Good,2.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 01:00 AM,2019,01,02,01,2.2,9,Good,2.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 02:00 AM,2019,01,02,02,5.1,21,Good,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 03:00 AM,2019,01,02,03,5.5,23,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 04:00 AM,2019,01,02,04,3.2,13,Good,1.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 05:00 AM,2019,01,02,05,3.1,13,Good,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 06:00 AM,2019,01,02,06,2.5,10,Good,2.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 07:00 AM,2019,01,02,07,3.2,13,Good,4.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 08:00 AM,2019,01,02,08,7.6,32,Good,12.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 09:00 AM,2019,01,02,09,11.3,47,Good,15.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 10:00 AM,2019,01,02,10,9.6,40,Good,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 11:00 AM,2019,01,02,11,11.8,49,Good,14.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 12:00 PM,2019,01,02,12,10.4,43,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 01:00 PM,2019,01,02,13,8.2,34,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 02:00 PM,2019,01,02,14,6.6,28,Good,5.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 03:00 PM,2019,01,02,15,5.8,24,Good,5.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 04:00 PM,2019,01,02,16,10.9,45,Good,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 05:00 PM,2019,01,02,17,7.4,31,Good,4.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 06:00 PM,2019,01,02,18,10.2,43,Good,13.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 07:00 PM,2019,01,02,19,14.6,56,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 08:00 PM,2019,01,02,20,8.8,37,Good,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 09:00 PM,2019,01,02,21,5.4,23,Good,2.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 10:00 PM,2019,01,02,22,3.7,15,Good,2.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2019-01-02 11:00 PM,2019,01,02,23,2.8,12,Good,2.0,UG/M3,1 Hr,Valid
