tanggal,so2(ug/m3),so2_ispu,temperatur_rata-rata(°C),kelembapan_rata-rata(%),curah_hujan(mm),kecepatan_angin_rata-rata(m/s)
2010-01-31,4.7,5.0,27.4,80.2,14.4,2.5
2010-02-28,6.0,7.0,28.2,80.3,9.6,2.6
2010-03-31,8.0,9.0,28.6,78.5,9.4,2.6
2010-04-30,12.4,13.0,29.6,74.5,2.2,2.7
2010-05-31,16.3,16.0,29.3,76.7,2.8,2.7
2010-06-30,19.0,19.0,28.8,77.4,5.8,2.6
2010-07-31,18.3,18.0,28.3,78.1,7.6,2.6
2010-08-31,16.7,17.0,28.7,75.9,5.5,2.8
2010-09-30,15.9,16.0,28.1,78.2,9.1,2.6
2010-10-31,18.9,19.0,27.9,78.1,11.9,2.8
2010-11-30,18.5,18.0,28.3,77.5,5.9,2.7
2010-12-31,18.6,19.0,27.7,75.8,4.3,3.1
2011-01-31,17.0,17.0,27.2,80.0,5.1,3.1
2011-02-28,17.8,18.0,27.6,79.6,9.1,2.8
2011-03-31,16.3,16.0,27.9,76.0,5.1,3.3
2011-04-30,18.8,19.0,28.7,74.8,1.8,3.0
2011-05-31,20.3,20.0,28.8,76.1,6.0,2.6
2011-06-30,16.1,16.0,28.7,72.6,2.7,2.7
2011-07-31,16.5,17.0,28.3,74.4,0.6,3.0
2011-08-31,15.1,15.0,28.8,68.4,0.1,2.8
2011-09-30,16.6,17.0,29.0,68.4,1.8,2.7
2011-10-31,19.3,19.0,29.2,71.0,3.1,2.8
2011-11-30,22.0,22.0,28.9,73.6,1.6,2.7
2011-12-31,20.4,20.0,28.5,76.2,3.7,2.6
2012-01-31,21.0,21.0,27.7,79.6,8.9,2.9
2012-02-29,21.4,21.0,28.4,76.6,3.8,2.3
2012-03-31,22.0,22.0,28.6,75.2,6.4,3.1
2012-04-30,26.4,26.0,28.7,77.0,8.1,2.8
2012-05-31,26.4,26.0,29.0,74.5,3.2,2.9
2012-06-30,30.1,29.0,28.8,72.8,2.4,2.8
2012-07-31,27.0,26.0,28.4,70.1,0.8,2.6
2012-08-31,26.2,26.0,28.6,68.7,0.0,2.7
2012-09-30,29.9,29.0,28.9,69.3,0.7,2.5
2012-10-31,30.0,29.0,29.6,71.3,0.7,2.5
2012-11-30,31.0,30.0,28.6,77.9,11.0,2.6
2012-12-31,11.0,11.0,28.1,78.8,9.0,3.0
2013-01-31,,,,,,
2013-02-28,,,,,,
2013-03-31,,,,,,
2013-04-30,,,,,,
2013-05-31,,,,,,
2013-06-30,,,,,,
2013-07-31,,,,,,
2013-08-31,,,,,,
2013-09-30,,,,,,
2013-10-31,,,,,,
2013-11-30,,,,,,
2013-12-31,,,,,,
2014-01-31,,,,,,
2014-02-28,,,,,,
2014-03-31,,,,,,
2014-04-30,,,,,,
2014-05-31,,,,,,
2014-06-30,,,,,,
2014-07-31,,,,,,
2014-08-31,,,,,,
2014-09-30,,,,,,
2014-10-31,,,,,,
2014-11-30,,,,,,
2014-12-31,,,,,,
2015-01-31,,,,,,
2015-02-28,,,,,,
2015-03-31,,,,,,
2015-04-30,,,,,,
2015-05-31,,,,,,
2015-06-30,,,,,,
2015-07-31,,,,,,
2015-08-31,,,,,,
2015-09-30,,,,,,
2015-10-31,,,,,,
2015-11-30,,,,,,
2015-12-31,,,,,,
2016-01-31,40.8,39.0,28.0,83.8,11.0,1.2
2016-02-29,33.6,33.0,27.7,83.3,19.7,1.4
2016-03-31,27.0,26.0,28.4,81.6,13.5,1.4
2016-04-30,28.6,28.0,29.3,77.7,8.9,1.4
2016-05-31,29.8,29.0,29.2,79.2,5.6,0.9
2016-06-30,29.6,29.0,28.6,77.6,8.1,1.1
2016-07-31,29.9,29.0,28.4,78.2,8.6,1.3
2016-08-31,30.5,30.0,28.4,76.9,7.8,1.1
2016-09-30,30.9,30.0,28.4,77.3,7.3,1.2
2016-10-31,31.3,30.0,28.3,78.4,4.7,1.2
2016-11-30,32.5,32.0,28.4,78.0,5.5,1.4
2016-12-31,32.4,32.0,28.4,75.2,2.0,2.2
2017-01-31,28.7,28.0,28.1,78.4,8.7,1.7
2017-02-28,6.4,7.0,27.2,82.8,20.5,1.7
2017-03-31,9.0,9.0,28.1,78.3,4.6,1.3
2017-04-30,9.4,10.0,28.7,77.4,3.3,1.4
2017-05-31,13.0,13.0,29.1,75.8,4.5,1.1
2017-06-30,14.6,15.0,28.7,77.4,5.3,1.4
2017-07-31,16.3,16.0,28.6,74.2,4.1,1.1
2017-08-31,19.3,19.0,28.7,69.4,0.0,1.6
2017-09-30,19.4,19.0,28.8,72.4,5.7,1.3
